策划备注,奖励排名,物品,铜钱,金币,灵力,声望
65奖励,65,,675000,0,33750,850
66奖励,66,,670000,0,33500,840
67奖励,67,,665000,0,33250,830
68奖励,68,,660000,0,33000,820
69奖励,69,,655000,0,32750,810
70奖励,70,,650000,0,32500,800
71奖励,71,,645000,0,32250,790
72奖励,72,,640000,0,32000,780
73奖励,73,,635000,0,31750,770
74奖励,74,,630000,0,31500,760
75奖励,75,,625000,0,31250,750
76奖励,76,,620000,0,31000,740
77奖励,77,,615000,0,30750,730
78奖励,78,,610000,0,30500,720
79奖励,79,,605000,0,30250,710
80奖励,80,,600000,0,30000,700
81奖励,81,,595000,0,29750,690
82奖励,82,,590000,0,29500,680
83奖励,83,,585000,0,29250,670
84奖励,84,,580000,0,29000,660
85奖励,85,,575000,0,28750,650
86奖励,86,,570000,0,28500,640
87奖励,87,,565000,0,28250,630
88奖励,88,,560000,0,28000,620
89奖励,89,,555000,0,27750,610
90奖励,90,,550000,0,27500,600
91奖励,91,,545000,0,27250,590
92奖励,92,,540000,0,27000,580
93奖励,93,,535000,0,26750,570
94奖励,94,,530000,0,26500,560
95奖励,95,,525000,0,26250,550
96奖励,96,,520000,0,26000,540
97奖励,97,,515000,0,25750,530
98奖励,98,,510000,0,25500,520
99奖励,99,,505000,0,25250,510
100奖励,100,,500000,0,25000,500
101奖励,101,,497500,0,24875,495
102奖励,102,,495000,0,24750,490
103奖励,103,,492500,0,24625,485
104奖励,104,,490000,0,24500,480
105奖励,105,,487500,0,24375,475
106奖励,106,,485000,0,24250,470
107奖励,107,,482500,0,24125,465
108奖励,108,,480000,0,24000,460
109奖励,109,,477500,0,23875,455
110奖励,110,,475000,0,23750,450
111奖励,111,,472500,0,23625,445
112奖励,112,,470000,0,23500,440
113奖励,113,,467500,0,23375,435
114奖励,114,,465000,0,23250,430
115奖励,115,,462500,0,23125,425
116奖励,116,,460000,0,23000,420
117奖励,117,,457500,0,22875,415
118奖励,118,,455000,0,22750,410
119奖励,119,,452500,0,22625,405
120奖励,120,,450000,0,22500,400
121奖励,121,,447500,0,22375,400
122奖励,122,,445000,0,22250,400
123奖励,123,,442500,0,22125,400
124奖励,124,,440000,0,22000,400
125奖励,125,,437500,0,21875,400
126奖励,126,,435000,0,21750,395
127奖励,127,,432500,0,21625,395
128奖励,128,,430000,0,21500,395
129奖励,129,,427500,0,21375,395
130奖励,130,,425000,0,21250,395
131奖励,131,,422500,0,21125,390
132奖励,132,,420000,0,21000,390
133奖励,133,,417500,0,20875,390
134奖励,134,,415000,0,20750,390
135奖励,135,,412500,0,20625,390
136奖励,136,,410000,0,20500,385
137奖励,137,,407500,0,20375,385
138奖励,138,,405000,0,20250,385
139奖励,139,,402500,0,20125,385
140奖励,140,,400000,0,20000,385
141奖励,141,,397500,0,19875,380
142奖励,142,,395000,0,19750,380
143奖励,143,,392500,0,19625,380
144奖励,144,,390000,0,19500,380
145奖励,145,,387500,0,19375,380
146奖励,146,,385000,0,19250,375
147奖励,147,,382500,0,19125,375
148奖励,148,,380000,0,19000,375
149奖励,149,,377500,0,18875,375
150奖励,150,,375000,0,18750,375
151奖励,151,,372500,0,18625,370
152奖励,152,,370000,0,18500,370
153奖励,153,,367500,0,18375,370
154奖励,154,,365000,0,18250,370
155奖励,155,,362500,0,18125,370
156奖励,156,,360000,0,18000,365
157奖励,157,,357500,0,17875,365
158奖励,158,,355000,0,17750,365
159奖励,159,,352500,0,17625,365
160奖励,160,,350000,0,17500,365
161奖励,161,,347500,0,17375,360
162奖励,162,,345000,0,17250,360
163奖励,163,,342500,0,17125,360
164奖励,164,,340000,0,17000,360
165奖励,165,,337500,0,16875,360
166奖励,166,,335000,0,16750,355
167奖励,167,,332500,0,16625,355
168奖励,168,,330000,0,16500,355
169奖励,169,,327500,0,16375,355
170奖励,170,,325000,0,16250,355
171奖励,171,,322500,0,16125,350
172奖励,172,,320000,0,16000,350
173奖励,173,,317500,0,15875,350
174奖励,174,,315000,0,15750,350
175奖励,175,,312500,0,15625,350
176奖励,176,,310000,0,15500,345
177奖励,177,,307500,0,15375,345
178奖励,178,,305000,0,15250,345
179奖励,179,,302500,0,15125,345
180奖励,180,,300000,0,15000,345
181奖励,181,,297500,0,14875,340
182奖励,182,,295000,0,14750,340
183奖励,183,,292500,0,14625,340
184奖励,184,,290000,0,14500,340
185奖励,185,,287500,0,14375,340
186奖励,186,,285000,0,14250,335
187奖励,187,,282500,0,14125,335
188奖励,188,,280000,0,14000,335
189奖励,189,,277500,0,13875,335
190奖励,190,,275000,0,13750,335
191奖励,191,,272500,0,13625,330
192奖励,192,,270000,0,13500,330
193奖励,193,,267500,0,13375,330
194奖励,194,,265000,0,13250,330
195奖励,195,,262500,0,13125,330
196奖励,196,,260000,0,13000,325
197奖励,197,,257500,0,12875,325
198奖励,198,,255000,0,12750,325
199奖励,199,,252500,0,12625,325
200奖励,200,,250000,0,12500,325
201奖励,201,,249000,0,12450,320
202奖励,202,,248000,0,12400,320
203奖励,203,,247000,0,12350,320
204奖励,204,,246000,0,12300,320
205奖励,205,,245000,0,12250,320
206奖励,206,,244000,0,12200,315
207奖励,207,,243000,0,12150,315
208奖励,208,,242000,0,12100,315
209奖励,209,,241000,0,12050,315
210奖励,210,,240000,0,12000,315
211奖励,211,,239000,0,11950,310
212奖励,212,,238000,0,11900,310
213奖励,213,,237000,0,11850,310
214奖励,214,,236000,0,11800,310
215奖励,215,,235000,0,11750,310
216奖励,216,,234000,0,11700,305
217奖励,217,,233000,0,11650,305
218奖励,218,,232000,0,11600,305
219奖励,219,,231000,0,11550,305
220奖励,220,,230000,0,11500,305
221奖励,221,,229000,0,11450,300
222奖励,222,,228000,0,11400,300
223奖励,223,,227000,0,11350,300
224奖励,224,,226000,0,11300,300
225奖励,225,,225000,0,11250,300
226奖励,226,,224000,0,11200,295
227奖励,227,,223000,0,11150,295
228奖励,228,,222000,0,11100,295
229奖励,229,,221000,0,11050,295
230奖励,230,,220000,0,11000,295
231奖励,231,,219000,0,10950,290
232奖励,232,,218000,0,10900,290
233奖励,233,,217000,0,10850,290
234奖励,234,,216000,0,10800,290
235奖励,235,,215000,0,10750,290
236奖励,236,,214000,0,10700,285
237奖励,237,,213000,0,10650,285
238奖励,238,,212000,0,10600,285
239奖励,239,,211000,0,10550,285
240奖励,240,,210000,0,10500,285
241奖励,241,,209000,0,10450,280
242奖励,242,,208000,0,10400,280
243奖励,243,,207000,0,10350,280
244奖励,244,,206000,0,10300,280
245奖励,245,,205000,0,10250,280
246奖励,246,,204000,0,10200,275
247奖励,247,,203000,0,10150,275
248奖励,248,,202000,0,10100,275
249奖励,249,,201000,0,10050,275
250奖励,250,,200000,0,10000,275
251奖励,251,,199500,0,9975,270
252奖励,252,,199000,0,9950,270
253奖励,253,,198500,0,9925,270
254奖励,254,,198000,0,9900,270
255奖励,255,,197500,0,9875,270
256奖励,256,,197000,0,9850,265
257奖励,257,,196500,0,9825,265
258奖励,258,,196000,0,9800,265
259奖励,259,,195500,0,9775,265
260奖励,260,,195000,0,9750,265
261奖励,261,,194500,0,9725,260
262奖励,262,,194000,0,9700,260
263奖励,263,,193500,0,9675,260
264奖励,264,,193000,0,9650,260
265奖励,265,,192500,0,9625,260
266奖励,266,,192000,0,9600,255
267奖励,267,,191500,0,9575,255
268奖励,268,,191000,0,9550,255
269奖励,269,,190500,0,9525,255
270奖励,270,,190000,0,9500,255
271奖励,271,,189500,0,9475,250
272奖励,272,,189000,0,9450,250
273奖励,273,,188500,0,9425,250
274奖励,274,,188000,0,9400,250
275奖励,275,,187500,0,9375,250
276奖励,276,,187000,0,9350,245
277奖励,277,,186500,0,9325,245
278奖励,278,,186000,0,9300,245
279奖励,279,,185500,0,9275,245
280奖励,280,,185000,0,9250,245
281奖励,281,,184500,0,9225,240
282奖励,282,,184000,0,9200,240
283奖励,283,,183500,0,9175,240
284奖励,284,,183000,0,9150,240
285奖励,285,,182500,0,9125,240
286奖励,286,,182000,0,9100,235
287奖励,287,,181500,0,9075,235
288奖励,288,,181000,0,9050,235
289奖励,289,,180500,0,9025,235
290奖励,290,,180000,0,9000,235
291奖励,291,,179500,0,8975,230
292奖励,292,,179000,0,8950,230
293奖励,293,,178500,0,8925,230
294奖励,294,,178000,0,8900,230
295奖励,295,,177500,0,8875,230
296奖励,296,,177000,0,8850,225
297奖励,297,,176500,0,8825,225
298奖励,298,,176000,0,8800,225
299奖励,299,,175500,0,8775,225
300奖励,300,,175000,0,8750,225
301奖励,301,,174500,0,8725,220
302奖励,302,,174000,0,8700,220
303奖励,303,,173500,0,8675,220
304奖励,304,,173000,0,8650,220
305奖励,305,,172500,0,8625,220
306奖励,306,,172000,0,8600,215
307奖励,307,,171500,0,8575,215
308奖励,308,,171000,0,8550,215
309奖励,309,,170500,0,8525,215
310奖励,310,,170000,0,8500,215
311奖励,311,,169500,0,8475,210
312奖励,312,,169000,0,8450,210
313奖励,313,,168500,0,8425,210
314奖励,314,,168000,0,8400,210
315奖励,315,,167500,0,8375,210
316奖励,316,,167000,0,8350,205
317奖励,317,,166500,0,8325,205
318奖励,318,,166000,0,8300,205
319奖励,319,,165500,0,8275,205
320奖励,320,,165000,0,8250,205
321奖励,321,,164500,0,8225,200
322奖励,322,,164000,0,8200,200
323奖励,323,,163500,0,8175,200
324奖励,324,,163000,0,8150,200
325奖励,325,,162500,0,8125,200
326奖励,326,,162000,0,8100,195
327奖励,327,,161500,0,8075,195
328奖励,328,,161000,0,8050,195
329奖励,329,,160500,0,8025,195
330奖励,330,,160000,0,8000,195
331奖励,331,,159500,0,7975,190
332奖励,332,,159000,0,7950,190
333奖励,333,,158500,0,7925,190
334奖励,334,,158000,0,7900,190
335奖励,335,,157500,0,7875,190
336奖励,336,,157000,0,7850,185
337奖励,337,,156500,0,7825,185
338奖励,338,,156000,0,7800,185
339奖励,339,,155500,0,7775,185
340奖励,340,,155000,0,7750,185
341奖励,341,,154500,0,7725,180
342奖励,342,,154000,0,7700,180
343奖励,343,,153500,0,7675,180
344奖励,344,,153000,0,7650,180
345奖励,345,,152500,0,7625,180
346奖励,346,,152000,0,7600,175
347奖励,347,,151500,0,7575,175
348奖励,348,,151000,0,7550,175
349奖励,349,,150500,0,7525,175
350奖励,350,,150000,0,7500,175
351奖励,351,,149500,0,7475,170
352奖励,352,,149000,0,7450,170
353奖励,353,,148500,0,7425,170
354奖励,354,,148000,0,7400,170
355奖励,355,,147500,0,7375,170
356奖励,356,,147000,0,7350,165
357奖励,357,,146500,0,7325,165
358奖励,358,,146000,0,7300,165
359奖励,359,,145500,0,7275,165
360奖励,360,,145000,0,7250,165
361奖励,361,,144500,0,7225,160
362奖励,362,,144000,0,7200,160
363奖励,363,,143500,0,7175,160
364奖励,364,,143000,0,7150,160
365奖励,365,,142500,0,7125,160
366奖励,366,,142000,0,7100,155
367奖励,367,,141500,0,7075,155
368奖励,368,,141000,0,7050,155
369奖励,369,,140500,0,7025,155
370奖励,370,,140000,0,7000,155
371奖励,371,,139500,0,6975,150
372奖励,372,,139000,0,6950,150
373奖励,373,,138500,0,6925,150
374奖励,374,,138000,0,6900,150
375奖励,375,,137500,0,6875,150
376奖励,376,,137000,0,6850,145
377奖励,377,,136500,0,6825,145
378奖励,378,,136000,0,6800,145
379奖励,379,,135500,0,6775,145
380奖励,380,,135000,0,6750,145
381奖励,381,,134500,0,6725,140
382奖励,382,,134000,0,6700,140
383奖励,383,,133500,0,6675,140
384奖励,384,,133000,0,6650,140
385奖励,385,,132500,0,6625,140
386奖励,386,,132000,0,6600,135
387奖励,387,,131500,0,6575,135
388奖励,388,,131000,0,6550,135
389奖励,389,,130500,0,6525,135
390奖励,390,,130000,0,6500,135
391奖励,391,,129500,0,6475,130
392奖励,392,,129000,0,6450,130
393奖励,393,,128500,0,6425,130
394奖励,394,,128000,0,6400,130
395奖励,395,,127500,0,6375,130
396奖励,396,,127000,0,6350,125
397奖励,397,,126500,0,6325,125
398奖励,398,,126000,0,6300,125
399奖励,399,,125500,0,6275,125
400奖励,400,,125000,0,6250,125
401奖励,401,,124500,0,6225,120
402奖励,402,,124000,0,6200,120
403奖励,403,,123500,0,6175,120
404奖励,404,,123000,0,6150,120
405奖励,405,,122500,0,6125,120
406奖励,406,,122000,0,6100,115
407奖励,407,,121500,0,6075,115
408奖励,408,,121000,0,6050,115
409奖励,409,,120500,0,6025,115
410奖励,410,,120000,0,6000,115
411奖励,411,,119500,0,5975,110
412奖励,412,,119000,0,5950,110
413奖励,413,,118500,0,5925,110
414奖励,414,,118000,0,5900,110
415奖励,415,,117500,0,5875,110
416奖励,416,,117000,0,5850,105
417奖励,417,,116500,0,5825,105
418奖励,418,,116000,0,5800,105
419奖励,419,,115500,0,5775,105
420奖励,420,,115000,0,5750,105
421奖励,421,,114500,0,5725,100
422奖励,422,,114000,0,5700,100
423奖励,423,,113500,0,5675,100
424奖励,424,,113000,0,5650,100
425奖励,425,,112500,0,5625,100
426奖励,426,,112000,0,5600,95
427奖励,427,,111500,0,5575,95
428奖励,428,,111000,0,5550,95
429奖励,429,,110500,0,5525,95
430奖励,430,,110000,0,5500,95
431奖励,431,,109500,0,5475,90
432奖励,432,,109000,0,5450,90
433奖励,433,,108500,0,5425,90
434奖励,434,,108000,0,5400,90
435奖励,435,,107500,0,5375,90
436奖励,436,,107000,0,5350,85
437奖励,437,,106500,0,5325,85
438奖励,438,,106000,0,5300,85
439奖励,439,,105500,0,5275,85
440奖励,440,,105000,0,5250,85
441奖励,441,,104500,0,5225,80
442奖励,442,,104000,0,5200,80
443奖励,443,,103500,0,5175,80
444奖励,444,,103000,0,5150,80
445奖励,445,,102500,0,5125,80
446奖励,446,,102000,0,5100,75
447奖励,447,,101500,0,5075,75
448奖励,448,,101000,0,5050,75
449奖励,449,,100500,0,5025,75
450奖励,450,,100000,0,5000,75
451奖励,451,,99500,0,4975,70
452奖励,452,,99000,0,4950,70
453奖励,453,,98500,0,4925,70
454奖励,454,,98000,0,4900,70
455奖励,455,,97500,0,4875,70
456奖励,456,,97000,0,4850,70
457奖励,457,,96500,0,4825,70
458奖励,458,,96000,0,4800,70
459奖励,459,,95500,0,4775,70
460奖励,460,,95000,0,4750,70
461奖励,461,,94500,0,4725,65
462奖励,462,,94000,0,4700,65
463奖励,463,,93500,0,4675,65
464奖励,464,,93000,0,4650,65
465奖励,465,,92500,0,4625,65
466奖励,466,,92000,0,4600,65
467奖励,467,,91500,0,4575,65
468奖励,468,,91000,0,4550,65
469奖励,469,,90500,0,4525,65
470奖励,470,,90000,0,4500,65
471奖励,471,,89500,0,4475,60
472奖励,472,,89000,0,4450,60
473奖励,473,,88500,0,4425,60
474奖励,474,,88000,0,4400,60
475奖励,475,,87500,0,4375,60
476奖励,476,,87000,0,4350,60
477奖励,477,,86500,0,4325,60
478奖励,478,,86000,0,4300,60
479奖励,479,,85500,0,4275,60
480奖励,480,,85000,0,4250,60
481奖励,481,,84500,0,4225,55
482奖励,482,,84000,0,4200,55
483奖励,483,,83500,0,4175,55
484奖励,484,,83000,0,4150,55
485奖励,485,,82500,0,4125,55
486奖励,486,,82000,0,4100,55
487奖励,487,,81500,0,4075,55
488奖励,488,,81000,0,4050,55
489奖励,489,,80500,0,4025,55
490奖励,490,,80000,0,4000,55
491奖励,491,,79500,0,3975,50
492奖励,492,,79000,0,3950,50
493奖励,493,,78500,0,3925,50
494奖励,494,,78000,0,3900,50
495奖励,495,,77500,0,3875,50
496奖励,496,,77000,0,3850,50
497奖励,497,,76500,0,3825,50
498奖励,498,,76000,0,3800,50
499奖励,499,,75500,0,3775,50
500奖励,500,,75000,0,3750,50
