普通小怪10000+ 普通精英30000+ 普通boss50000+ 精英XX100000+ 魔王XX200000+,角色ID,角色名,描述,动作,数据,半身像,"头像=INDEX([头像与BOSS对应关系.xlsx]Sheet1!$B:$B,MATCH(E3,[头像与BOSS对应关系.xlsx]Sheet1!$C:$C,0),0)",属性模版ID,AI ID,重量,跳跃,速度,击退次数保护,浮空次数保护,重量增加极限,不能浮空,击杀掉落,"符号显示高度=INDEX('[boss小怪身高.xlsx]Sheet1'!$B:$B,MATCH(E3,'[boss小怪身高.xlsx]Sheet1'!$A:$A,0),0)"
虚灵幻境小怪1,30010111,马面,,Z0006,Z0006,,head_2042,1007,1002,10,,8,15,10,5,,,200
虚灵幻境小怪2,30010112,赤发鬼,,Z0028,Z0028,,,1007,1002,10,,8,15,10,5,,,164
虚灵幻境小怪3,30010113,鬼卒,,Z0005,Z0005,,,1007,1002,10,,8,15,10,5,,,125
虚灵幻境小怪4,30010114,石怪,,Z0022,Z0022,,,1007,1002,10,,8,15,10,5,,,185
虚灵幻境小怪5,30010115,,,,,,,1007,,10,,8,15,10,5,,,
虚灵幻境小怪6,30010116,,,,,,,1007,,10,,8,15,10,5,,,
虚灵幻境精英1,30010171,,,,,,,7007,,10,,8,15,10,5,,,
虚灵幻境精英2,30010172,,,,,,,7007,,10,,8,15,10,5,,,
虚灵幻境boss1,30010191,,,,,,,9007,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
虚空幻境小怪1,30010211,天兵1,,Z0001,Z0001,,,1007,1002,10,,8,15,10,5,,,210
虚空幻境小怪2,30010212,天兵2,,Z0002,Z0002,,,1007,1002,10,,8,15,10,5,,,210
虚空幻境小怪3,30010213,天兵3,,Z0003,Z0003,,,1007,1002,10,,8,15,10,5,,,225
虚空幻境小怪4,30010214,天兵4,,Z0004,Z0004,,,1007,1002,10,,8,15,10,5,,,190
虚空幻境小怪5,30010215,,,,,,,1007,,10,,8,15,10,5,,,
虚空幻境小怪6,30010216,,,,,,,1007,,10,,8,15,10,5,,,
虚空幻境精英1,30010271,,,,,,,7007,,10,,8,15,10,5,,,
虚空幻境精英2,30010272,,,,,,,7007,,10,,8,15,10,5,,,
虚空幻境boss2,30010291,,,,,,,9007,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
无双引导小怪1,30010311,灵童小妖,,Z0021,Z0021,,,1007,1002,10,,8,15,10,5,,,155
无双引导小怪2,30010312,猪妖,,Z0016,Z0016,,,1007,1002,10,,8,15,10,5,,,195
无双引导小怪3,30010313,牛头,,Z0007,Z0007,,head_2041,1007,1002,10,,8,15,10,5,,,178
无双引导小怪4,30010314,铁叉蝙蝠,,Z0015,Z0015,,,1007,1002,10,,8,15,10,5,,,205
无双引导小怪5,30010315,,,,,,,1007,,10,,8,15,10,5,,,
无双引导小怪6,30010316,,,,,,,1007,,10,,8,15,10,5,,,
无双引导精英1,30010371,,,,,,,7007,,10,,8,15,10,5,,,
无双引导精英2,30010372,,,,,,,7007,,10,,8,15,10,5,,,
无双引导boss1,30010391,,,,,,,9007,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
新手关,50008,新手关破军1阶段,二郎真君,S0002,S0002,666,head_2017,7010,10025,10,0,10,15,10,5,,,280
,,,,,,,,,,,,,,,,,,
初探奇山小怪1,100111,鬼翼亡魂,,C0003,C0003,,head_2034,7010,10028,10,,8,15,10,5,,,290
初探奇山小怪2,100112,小怪2,,,,,,1010,,10,,8,15,10,5,,,
初探奇山小怪3,100113,天兵C,,Z0003,Z0003,,,1009,1000,10,,8,15,10,5,,,225
初探奇山小怪4,100114,天兵D,,Z0004,Z0004,,,1009,1000,10,,8,15,10,5,,,190
初探奇山小怪5,100115,小怪5,,,,,,1013,,10,,8,15,10,5,,,
初探奇山小怪6,100116,小怪6,,,,,,1014,,10,,8,15,10,5,,,
初探奇山精英1,100171,精英1,,,,,,7010,,10,,8,15,10,5,,,
初探奇山精英2,100172,精英2,,,,,,7011,,10,,8,15,10,5,,,
初探奇山boss1,100191,boss1,,,,,,9010,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
再试身手小怪1,100211,毒针蜂,,Z0026,Z0026,,,1010,1000,10,,8,15,10,5,,,250
再试身手小怪2,100212,天兵B,,Z0002,Z0002,,,1010,1000,10,,8,15,10,5,,,210
再试身手小怪3,100213,小道童,,Z0017,Z0017,,,1010,1000,10,,8,15,10,5,,,220
再试身手小怪4,100214,小怪4,,,,,,1013,,10,,8,15,10,5,,,
再试身手小怪5,100215,小怪5,,,,,,1014,,10,,8,15,10,5,,,
再试身手小怪6,100216,小怪6,,,,,,1015,,10,,8,15,10,5,,,
再试身手精英1,100271,精英1,,,,,,7011,,10,,8,15,10,5,,,
再试身手精英2,100272,精英2,,,,,,7012,,10,,8,15,10,5,,,
再试身手boss1,100291,boss1,,,,,,9011,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
解救猕猴小怪1,100311,天兵A,,Z0001,Z0001,,,1011,1000,10,,8,15,10,5,,,210
解救猕猴小怪2,100312,花妖,,Z0027,Z0027,,,1011,1001,10,,8,15,10,5,,,210
解救猕猴小怪3,100313,螳螂精,,Z0019,Z0019,,,1011,1000,10,,8,15,10,5,,,155
解救猕猴小怪4,100314,小怪4,,,,,,1014,,10,,8,15,10,5,,,
解救猕猴小怪5,100315,小怪5,,,,,,1015,,10,,8,15,10,5,,,
解救猕猴小怪6,100316,小怪6,,,,,,1016,,10,,8,15,10,5,,,
解救猕猴精英1,100371,灵弓射手,,C0005,C0005,,head_2036,7012,10030,10,,8,15,10,5,,,240
解救猕猴精英2,100372,精英2,,,,,,7013,,10,,8,15,10,5,,,
解救猕猴boss1,100391,boss1,,,,,,9012,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
先锋大将小怪1,100411,天兵A,,Z0001,Z0001,,,1012,1000,10,,8,15,10,5,,,210
先锋大将小怪2,100412,天兵B,,Z0002,Z0002,,,1012,1000,10,,8,15,10,5,,,210
先锋大将小怪3,100413,天兵C,,Z0003,Z0003,,,1012,1000,10,,8,15,10,5,,,225
先锋大将小怪4,100414,天兵D,,Z0004,Z0004,,,1012,1000,10,,8,15,10,5,,,190
先锋大将小怪5,100415,小怪5,,,,,,1016,,10,,8,15,10,5,,,
先锋大将小怪6,100416,小怪6,,,,,,1017,,10,,8,15,10,5,,,
先锋大将精英1,100471,精英1,,,,,,7013,,10,,8,15,10,5,,,
先锋大将精英2,100472,精英2,,,,,,7014,,10,,8,15,10,5,,,
先锋大将boss1,100491,巨灵神,,A0005,A0005,,head_2005,200001,10001,10,,8,15,10,5,,,480
,,,,,,,,,,,,,,,,,,
天将何在小怪1,100511,灵弓射手,,C0005,C0005,,head_2036,7018,10030,10,,8,15,10,5,,,240
天将何在小怪2,100512,小怪2,,,,,,1018,,10,,8,15,10,5,,,
天将何在小怪3,100513,小怪3,,,,,,1018,,10,,8,15,10,5,,,
天将何在小怪4,100514,天兵D,,Z0004,Z0004,,,1018,1000,10,,8,15,10,5,,,190
天将何在小怪5,100515,小怪5,,,,,,1018,,10,,8,15,10,5,,,
天将何在小怪6,100516,小怪6,,,,,,1018,,10,,8,15,10,5,,,
天将何在精英1,100571,精英1,,,,,,7018,,10,,8,15,10,5,,,
天将何在精英2,100572,精英2,,,,,,7018,,10,,8,15,10,5,,,
天将何在boss1,100591,广目天王（不要）,,A0003,A0003,,head_2003,9018,10013,10,,12,15,10,5,,,310
,,,,,,,,,,,,,,,,,,
持国天王小怪1,100611,巨斧刑天,,C0002,C0002,,head_2033,1014,10027,10,,8,15,10,5,,,265
持国天王小怪2,100612,狼精,,Z0020,Z0020,,,1014,1000,10,,8,15,10,5,,,198
持国天王小怪3,100613,天兵C,,Z0003,Z0003,,,1014,1000,10,,8,15,10,5,,,225
持国天王小怪4,100614,小怪4,,,,,,1017,,10,,8,15,10,5,,,
持国天王小怪5,100615,小怪5,,,,,,1018,,10,,8,15,10,5,,,
持国天王小怪6,100616,小怪6,,,,,,1019,,10,,8,15,10,5,,,
持国天王精英1,100671,精英1,,,,,,7015,,10,,8,15,10,5,,,
持国天王精英2,100672,精英2,,,,,,7016,,10,,8,15,10,5,,,
持国天王boss1,100691,持国天王,,A0001,A0001,,head_2001,9015,10010,10,,12,15,10,5,,,310
,,,,,,,,,,,,,,,,,,
逆战而上小怪1,100711,鬼翼亡魂,,C0003,C0003,,head_2034,7016,10028,10,,8,15,10,5,,,290
逆战而上小怪2,100712,独角巨猿,,C0001,C0001,,head_2032,7016,10026,10,,8,15,10,5,,,198
逆战而上小怪3,100713,小怪3,,,,,,1017,,10,,8,15,10,5,,,
逆战而上小怪4,100714,天兵D,,Z0004,Z0004,,,1015,1000,10,,8,15,10,5,,,190
逆战而上小怪5,100715,小怪5,,,,,,1019,,10,,8,15,10,5,,,
逆战而上小怪6,100716,小怪6,,,,,,1020,,10,,8,15,10,5,,,
逆战而上精英1,100771,精英1,,,,,,7016,,10,,8,15,10,5,,,
逆战而上精英2,100772,精英2,,,,,,7017,,10,,8,15,10,5,,,
逆战而上boss1,100791,boss1,,,,,,9016,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
营救俘虏小怪1,100811,鬼翼亡魂,,C0003,C0003,,head_2034,7017,10028,10,,8,15,10,5,,,290
营救俘虏小怪2,100812,小怪2,,,,,,1017,,10,,8,15,10,5,,,
营救俘虏小怪3,100813,天兵C,,Z0003,Z0003,,,1017,1000,10,,8,15,10,5,,,225
营救俘虏小怪4,100814,天兵D,,Z0004,Z0004,,,1017,1000,10,,8,15,10,5,,,190
营救俘虏小怪5,100815,小怪5,,,,,,1020,,10,,8,15,10,5,,,
营救俘虏小怪6,100816,小怪6,,,,,,1021,,10,,8,15,10,5,,,
营救俘虏精英1,100871,精英1,,,,,,7017,,10,,8,15,10,5,,,
营救俘虏精英2,100872,精英2,,,,,,7018,,10,,8,15,10,5,,,
营救俘虏boss1,100891,持国天王（不要）,,A0001,A0001,,head_2001,9017,10010,10,,12,15,10,5,,,370
,,,,,,,,,,,,,,,,,,
多闻天王小怪1,100911,灵弓射手,,C0005,C0005,,head_2036,1022,10030,10,,8,15,10,5,,,240
多闻天王小怪2,100912,小怪2,,,,,,1018,,10,,8,15,10,5,,,
多闻天王小怪3,100913,小怪3,,,,,,1019,,10,,8,15,10,5,,,
多闻天王小怪4,100914,天兵A,,Z0001,Z0001,,,1017,1000,10,,8,15,10,5,,,210
多闻天王小怪5,100915,小怪5,,,,,,1021,,10,,8,15,10,5,,,
多闻天王小怪6,100916,小怪6,,,,,,1022,,10,,8,15,10,5,,,
多闻天王精英1,100971,精英1,,,,,,7018,,10,,8,15,10,5,,,
多闻天王精英2,100972,精英2,,,,,,7019,,10,,8,15,10,5,,,
多闻天王boss1,100991,多闻天王,,A0004,A0004,,head_2004,9018,10012,10,,12,15,10,5,,,370
,,,,,,,,,,,,,,,,,,
持兵登顶小怪1,101011,天兵A,,Z0001,Z0001,,,1018,1000,10,,8,15,10,5,,,210
持兵登顶小怪2,101012,天兵B,,Z0002,Z0002,,,1018,1000,10,,8,15,10,5,,,210
持兵登顶小怪3,101013,天兵C,,Z0003,Z0003,,,1018,1000,10,,8,15,10,5,,,225
持兵登顶小怪4,101014,天兵D,,Z0004,Z0004,,,1018,1000,10,,8,15,10,5,,,190
持兵登顶小怪5,101015,小怪5,,,,,,1022,,10,,8,15,10,5,,,
持兵登顶小怪6,101016,小怪6,,,,,,1023,,10,,8,15,10,5,,,
持兵登顶精英1,101071,精英1,,,,,,7019,,10,,8,15,10,5,,,
持兵登顶精英2,101072,精英2,,,,,,7020,,10,,8,15,10,5,,,
持兵登顶boss1,101091,boss1,,,,,,9019,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
大杀四方小怪1,101111,天兵A,,Z0001,Z0001,,,1019,1000,10,,8,15,10,5,,,210
大杀四方小怪2,101112,天兵B,,Z0002,Z0002,,,1019,1000,10,,8,15,10,5,,,210
大杀四方小怪3,101113,天兵C,,Z0003,Z0003,,,1019,1000,10,,8,15,10,5,,,225
大杀四方小怪4,101114,天兵D,,Z0004,Z0004,,,1019,1000,10,,8,15,10,5,,,190
大杀四方小怪5,101115,小怪5,,,,,,1023,,10,,8,15,10,5,,,
大杀四方小怪6,101116,小怪6,,,,,,1024,,10,,8,15,10,5,,,
大杀四方精英1,101171,精英1,,,,,,7020,,10,,8,15,10,5,,,
大杀四方精英2,101172,精英2,,,,,,7021,,10,,8,15,10,5,,,
大杀四方boss1,101191,boss1,,,,,,9020,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
勇战雷公小怪1,101211,巨斧刑天,,C0002,C0002,,head_2033,1024,10027,10,,8,15,10,5,,,265
勇战雷公小怪2,101212,灵弓射手,,C0005,C0005,,head_2036,1024,10030,10,,8,15,10,5,,,240
勇战雷公小怪3,101213,小怪3,,,,,,1022,,10,,8,15,10,5,,,
勇战雷公小怪4,101214,天兵D,,Z0004,Z0004,,,1019,1000,10,,8,15,10,5,,,190
勇战雷公小怪5,101215,小怪5,,,,,,1024,,10,,8,15,10,5,,,
勇战雷公小怪6,101216,小怪6,,,,,,1025,,10,,8,15,10,5,,,
勇战雷公精英1,101271,精英1,,,,,,7021,,10,,8,15,10,5,,,
勇战雷公精英2,101272,精英2,,,,,,7022,,10,,8,15,10,5,,,
勇战雷公boss1,101291,雷公,,S0001,S0001,,head_2016,9020,10002,10,,12,15,10,5,,,320
,,,,,,,,,,,,,,,,,,
勾魂使者小怪1,200111,鬼卒,,Z0005,Z0005,,,1021,1000,10,,8,15,10,5,,,125
勾魂使者小怪2,200112,马面,,Z0006,Z0006,,head_2042,1022,1000,10,,8,15,10,5,,,200
勾魂使者小怪3,200113,牛头,,Z0007,Z0007,,head_2041,1023,1000,10,,8,15,10,5,,,178
勾魂使者小怪4,200114,小怪4,,,,,,1024,,10,,8,15,10,5,,,
勾魂使者小怪5,200115,小怪5,,,,,,1025,,10,,8,15,10,5,,,
勾魂使者小怪6,200116,小怪6,,,,,,1026,,10,,8,15,10,5,,,
勾魂使者精英1,200171,精英1,,,,,,7022,,10,,8,15,10,5,,,
勾魂使者精英2,200172,精英2,,,,,,7023,,10,,8,15,10,5,,,
勾魂使者boss1,200191,boss1,,,,,,9022,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
强闯地府小怪1,200211,鬼卒,,Z0005,Z0005,,,1022,1000,10,,8,15,10,5,,,125
强闯地府小怪2,200212,马面,,Z0006,Z0006,,head_2042,1023,1000,10,,8,15,10,5,,,200
强闯地府小怪3,200213,牛头,,Z0007,Z0007,,head_2041,1024,1000,10,,8,15,10,5,,,178
强闯地府小怪4,200214,小怪4,,,,,,1025,,10,,8,15,10,5,,,
强闯地府小怪5,200215,小怪5,,,,,,1026,,10,,8,15,10,5,,,
强闯地府小怪6,200216,小怪6,,,,,,1027,,10,,8,15,10,5,,,
强闯地府精英1,200271,魑魅魍魉,,C0002,C0002,,head_2033,7023,10027,10,,8,15,10,5,,,265
强闯地府精英2,200272,精英2,,,,,,7024,,10,,8,15,10,5,,,
强闯地府boss1,200291,boss1,,,,,,9023,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
牛头马面小怪1,200311,鬼卒,,Z0005,Z0005,,,1023,1000,10,,8,15,10,5,,,125
牛头马面小怪2,200312,赤发鬼,,Z0028,Z0028,,,1024,1000,10,,8,15,10,5,,,164
牛头马面小怪3,200313,灵童小妖,,Z0021,Z0021,,,1025,1000,10,,8,15,10,5,,,155
牛头马面小怪4,200314,小怪4,,,,,,1026,,10,,8,15,10,5,,,
牛头马面小怪5,200315,小怪5,,,,,,1027,,10,,8,15,10,5,,,
牛头马面小怪6,200316,小怪6,,,,,,1028,,10,,8,15,10,5,,,
牛头马面精英1,200371,牛头,,Z0007,Z0007,,head_2041,7024,1000,10,,8,15,10,5,,,178
牛头马面精英2,200372,马面,,Z0006,Z0006,,head_2042,7025,1000,10,,8,15,10,5,,,200
牛头马面boss1,200391,boss1,,,,,,9024,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
幽冥之守小怪1,200411,鬼卒,,Z0005,Z0005,,,1024,1000,10,,8,15,10,5,,,125
幽冥之守小怪2,200412,马面,,Z0006,Z0006,,head_2042,1025,1000,10,,8,15,10,5,,,200
幽冥之守小怪3,200413,牛头,,Z0007,Z0007,,head_2041,1026,1000,10,,8,15,10,5,,,178
幽冥之守小怪4,200414,小怪4,,,,,,1027,,10,,8,15,10,5,,,
幽冥之守小怪5,200415,小怪5,,,,,,1028,,10,,8,15,10,5,,,
幽冥之守小怪6,200416,小怪6,,,,,,1029,,10,,8,15,10,5,,,
幽冥之守精英1,200471,精英1,,,,,,7025,,10,,8,15,10,5,,,
幽冥之守精英2,200472,精英2,,,,,,7026,,10,,8,15,10,5,,,
幽冥之守boss1,200491,boss1,,,,,,9025,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
生死判官小怪1,200511,鬼卒,,Z0005,Z0005,,,1025,1000,10,,8,15,10,5,,,125
生死判官小怪2,200512,马面,,Z0006,Z0006,,head_2042,1026,1000,10,,8,15,10,5,,,200
生死判官小怪3,200513,牛头,,Z0007,Z0007,,head_2041,1027,1000,10,,8,15,10,5,,,178
生死判官小怪4,200514,小怪4,,,,,,1028,,10,,8,15,10,5,,,
生死判官小怪5,200515,小怪5,,,,,,1029,,10,,8,15,10,5,,,
生死判官小怪6,200516,小怪6,,,,,,1030,,10,,8,15,10,5,,,
生死判官精英1,200571,精英1,,,,,,7026,,10,,8,15,10,5,,,
生死判官精英2,200572,精英2,,,,,,7027,,10,,8,15,10,5,,,
生死判官boss1,200591,判官,,B0001,B0001,,head_2019,9026,10023,10,,12,15,10,5,,,205
,,,,,,,,,,,,,,,,,,
步步深入小怪1,200611,鬼卒,,Z0005,Z0005,,,1026,1000,10,,8,15,10,5,,,125
步步深入小怪2,200612,马面,,Z0006,Z0006,,head_2042,1027,1000,10,,8,15,10,5,,,200
步步深入小怪3,200613,牛头,,Z0007,Z0007,,head_2041,1028,1000,10,,8,15,10,5,,,178
步步深入小怪4,200614,小怪4,,,,,,1029,,10,,8,15,10,5,,,
步步深入小怪5,200615,小怪5,,,,,,1030,,10,,8,15,10,5,,,
步步深入小怪6,200616,小怪6,,,,,,1031,,10,,8,15,10,5,,,
步步深入精英1,200671,精英1,,,,,,7027,,10,,8,15,10,5,,,
步步深入精英2,200672,精英2,,,,,,7028,,10,,8,15,10,5,,,
步步深入boss1,200691,boss1,,,,,,9027,,10,,8,15,10,5,,,
,,,,,,,,,,,,,,,,,,
森罗之途小怪1,200711,鬼卒,,Z0005,Z0005,,,1027,1000,10,,8,15,10,5,,,125
森罗之途小怪2,200712,马面,,Z0006,Z0006,,head_2042,1028,1000,10,,8,15,10,5,,,200
森罗之途小怪3,200713,牛头,,Z0007,Z0007,,head_2041,1029,1000,10,,8,15,10,5,,,178
森罗之途小怪4,200714,小怪4,,,,,,1030,,10,,8,15,10,5,,,
森罗之途小怪5,200715,小怪5,,,,,,1031,,10,,8,15,10,5,,,
森罗之途小怪6,200716,小怪6,,,,,,1032,,10,,8,15,10,5,,,
森罗之途精英1,200771,精英1,,,,,,7028,,10,,8,15,10,5,,,
森罗之途精英2,200772,精英2,,,,,,7029,,10,,8,15,10,5,,,
森罗之途boss1,200791,巨斧刑天,,C0002,C0002,,head_2033,9028,10027,10,,10,15,10,5,,,265
,,,,,,,,,,,,,,,,,,
一笔勾销小怪1,200811,鬼卒,,Z0005,Z0005,,,1028,1000,10,,8,15,10,5,,,125
一笔勾销小怪2,200812,马面,,Z0006,Z0006,,head_2042,1029,1000,10,,8,15,10,5,,,200
一笔勾销小怪3,200813,牛头,,Z0007,Z0007,,head_2041,1030,1000,10,,8,15,10,5,,,178
一笔勾销小怪4,200814,小怪4,,,,,,1031,,10,,8,15,10,5,,,
一笔勾销小怪5,200815,小怪5,,,,,,1032,,10,,8,15,10,5,,,
一笔勾销小怪6,200816,小怪6,,,,,,1033,,10,,8,15,10,5,,,
一笔勾销精英1,200871,精英1,,,,,,7029,,10,,8,15,10,5,,,
一笔勾销精英2,200872,精英2,,,,,,7030,,10,,8,15,10,5,,,
一笔勾销boss1,200891,阎王,,S0003,S0003,,head_2018,9029,10004,10,,8,15,10,5,,,440
,,,,,,,,,,,,,,,,,,
酒香飘然小怪1,300111,天兵A,,Z0001,Z0001,,,1028,1000,10,,8,15,10,5,,,210
