备注,任务id,任务名称,接任务npcid,交任务npcid,任务完整描述,任务主分类,任务推荐等级,等级限制,任务图标,任务排序,章节ID,是否自动打开窗口,不可接任务对话ID,接任务对话id,已接任务对话id,交任务对话id,任务类型,完成条件key,完成条件count,数值1,数值2,数值3,前置任务id,后续任务id,任务是否可以放弃,不可接任务跟踪文本,任务跟踪可接文本,任务跟踪进行中文本,任务跟踪可交文本,完成任务广播频道,完成任务系统消息ID,奖励铜钱,奖励灵力,奖励威望,奖励经验,奖励物品通用,奖励物品职业1,奖励物品职业2,奖励物品职业3,奖励物品职业4,奖励任务ID,任务是否关闭,开启章节效果ID,自动寻路
,2003,醉里逢奇,600101,600101,追寻索齐天大圣之魂的鬼差踪迹。,1,22,22,,2003,2,,,105,106,107,1,2001,1,,,,2002,20031,0,,去找{1#600101●齐天大圣}接受任务吧,通关{2#2001●勾魂使者},完成任务，去找{1#600101●齐天大圣}吧,,,4797,1919,,6150,,,,,,,,,1
强化装备,20031,强化装备,600102,600102,打开锻造面板，强化装备。,1,22,22,,2004,2,1,,771,772,773,3,2,1,,,,2003,20032,0,,去找{1#600102●觉因}接受任务吧,{24●强化装备},完成任务，去找{1#600102●觉因}吧,,,486,194,,615,,,,,,,,,
使用摇钱树,20032,摇钱树,600102,600102,使用摇钱树,1,22,22,,2005,1,1,,801,772,802,3,6,1,,,,20031,2004,0,,去找{1#600102●觉因}接受任务吧,{8●摇钱树},完成任务，去找{1#600102●觉因}吧,,,492,197,,615,,,,,,,,,
,2004,强闯地府,600101,600101,继续追寻索齐天大圣之魂的鬼差踪迹。,1,23,23,,2006,2,,,108,109,110,1,2002,1,,,,20032,20041,0,,去找{1#600101●齐天大圣}接受任务吧,通关{2#2002●强闯地府},完成任务，去找{1#600101●齐天大圣}吧,,,5103,2041,,6300,,,,,,,,,1
宝石镶嵌,20041,宝石镶嵌,600103,600103,打开宝石界面，在装备上镶嵌宝石。,1,23,23,,2007,2,1,,774,775,776,3,5,1,,,,2004,2005,0,,去找{1#600103●老猕猴}接受任务吧,在装备上{7●镶嵌宝石},完成任务，去找{1#600103●老猕猴}吧,,,517,207,,630,,,,,,,,,
,2005,牛头马面,600101,600101,击败逃走的牛头马面。,1,24,24,,2008,2,,,114,115,116,1,2003,1,,,,20041,2006,0,,去找{1#600101●齐天大圣}接受任务吧,通关{2#2003●牛头马面},完成任务，去找{1#600101●齐天大圣}吧,,,5354,2141,,6450,,,,,,,,,1
,2006,生死簿,600103,600103,了解生死簿相关之事，渡过忘川。,1,25,25,,2009,2,,,117,118,119,1,2004,1,,,,2005,2012,0,,去找{1#600103●老猕猴}接受任务吧,通关{2#2004●幽冥之守},完成任务，去找{1#600103●老猕猴}吧,,,5544,2218,,6600,,,,,,,,,1
斗魂,2012,七十二变,600102,600102,了解七十二变相关的事项。,1,25,25,,2010,2,1,,94,460,95,1,300101,1,,,,2006,2007,0,,去找{1#600102●觉因}接受任务吧,通关{29#300101●虚灵幻境},完成任务，去找{1#600102●觉因}吧,,,561,224,,660,,,,,,,,,
,2007,判官,600103,600103,前往前殿，击败地府判官。,1,26,26,,2011,2,,,120,121,122,1,2005,1,,,,2012,20071,0,,去找{1#600103●老猕猴}接受任务吧,通关{2#2005●生死判官},完成任务，去找{1#600103●老猕猴}吧,,,5805,2322,,6750,,,,,,,,,1
101005,20071,精英判官,600106,600106,通关{20#101005●精英判官}。,1,26,26,,2012,2,,,459,460,461,1,101005,1,,,,2007,2008,0,,去找{1#600106●猴兵乙}接受任务吧 ,通关{20#101005●精英判官},完成任务，去找{1#600106●猴兵乙}吧,,,3197,1279,,3675,5043080|1,,,,,,,,
,2008,艺高胆大,600103,600101,得知真正的生死簿在阎王手中，与齐天大圣商议是否继续扰乱地府。,1,27,27,,2013,2,,,123,,124,2,,,,,,20071,2009,0,,去找{1#600103●老猕猴}接受任务吧,与{1#600101●齐天大圣}对话,与{1#600101●齐天大圣}对话，商量此事。,,,607,243,,690,,,,,,,,,1
,2009,攻入,600101,600101,大闹地府，再次攻入其中。,1,27,27,,2014,2,,,125,126,127,1,2006,1,,,,2008,2010,0,,去找{1#600101●齐天大圣}接受任务吧,通关{2#2006●步步深入},完成任务，去找{1#600101●齐天大圣}吧,,,6141,2456,,6900,,,,,,,,,1
,2010,粉碎,600101,600101,杀至森罗殿外。,1,28,28,,2015,2,,,128,129,130,1,2007,1,,,,2009,2011,0,,去找{1#600101●齐天大圣}接受任务吧,通关{2#2007●森罗之途},完成任务，去找{1#600101●齐天大圣}吧,,,6345,2538,,7050,,,,,,,,,1
,2011,六道阎罗,600101,600101,击败阎王，修改生死簿。,1,29,29,,2016,2,,,131,132,133,1,2008,1,,,,2010,20111,0,,去找{1#600101●齐天大圣}接受任务吧,通关{2#2008●一笔勾销},完成任务，去找{1#600101●齐天大圣}吧,,,6552,2621,,7200,,,,,,,,,1
101006,20111,精英阎王,600106,600106,通关{20#101006●精英阎王}。,1,29,29,,2017,2,,,459,460,461,1,101006,1,,,,2011,3001,0,,去找{1#600106●猴兵乙}接受任务吧 ,通关{20#101006●精英阎王},完成任务，去找{1#600106●猴兵乙}吧,,,4342,1737,,4720,,5063101|1,5063102|1,5063103|1,5063104|1,,,,
,3001,共战天庭,600101,600801,与孙悟空对话，同上天庭。,1,30,30,,3001,3,,704,194,,195,2,,,,,,20111,400000,0,请将人物等级提升至30级。,去找{1#600101●齐天大圣}接受任务吧,与{1#600801●齐天大圣}对话,完成任务，去找{1#600801●齐天大圣}吧,,,684,273,,735,,,,,,,,,1
,400000,今天开始揍魔王,600802,600802,与觉因对话，了解关于魔王副本的事项。,1,30,30,,3002,3,,,779,,780,2,,,,,,3001,3002,0,,去找{1#600802●觉因}接受任务吧,与{1#600802●觉因}对话,完成任务，去找{1#600802●觉因}吧,,,1617,647,,735,,,,,,,,,
,3002,择路而行,600801,600801,另寻守卫薄弱的路径进入天庭。,1,30,30,,3003,3,,,196,197,198,1,3001,1,,,,400000,30021,0,,去找{1#600801●齐天大圣}接受任务吧,通关{2#3001●酒香飘然},完成任务，去找{1#600801●齐天大圣}吧,,,6909,2764,,7350,,,,,,,,,1
jjc开启通知,30021,直面挑战,600802,600802,与觉因对话，了解竞技场的开启。,1,30,30,,3004,3,,,839,,840,2,,,,,,3002,3003,0,,去找{1#600802●觉因}接受任务吧,与{1#600802●觉因}对话,完成任务，去找{1#600802●觉因}吧,,,684,273,,735,,,,,,,,,1
,3003,寻酒,600801,600801,寻找酒香传来之处。,1,30,30,,3005,3,,,199,197,200,1,3002,1,,,,30021,3004,0,,去找{1#600801●齐天大圣}接受任务吧,通关{2#3002●藏酒之处},完成任务，去找{1#600801●齐天大圣}吧,,,6983,2793,,7350,,,,,,,,,1
,3004,盗酒,600801,600801,打败酒窖守卫，盗仙酒。,1,31,31,,3006,3,,705,201,197,202,1,3003,1,,,,3003,3005,0,请将人物等级提升至31级。,去找{1#600801●齐天大圣}接受任务吧,通关{2#3003●酒窖守卫},完成任务，去找{1#600801●齐天大圣}吧,,,7200,2880,,7500,,,,,,,,,1
X,3005,惊动天兵,600801,600801,打败被惊动的守卫。,1,31,31,,3007,3,,,203,197,204,1,3004,1,,,,3004,3006,0,,去找{1#600801●齐天大圣}接受任务吧,通关{2#3004●受困窖中},完成任务，去找{1#600801●齐天大圣}吧,,,7275,2910,,7500,,,,,,,,,1
增长,3006,增长天王,600801,600801,打败被惊动的天将和守卫。,1,32,32,,3008,3,,706,205,197,206,1,3005,1,,,,3005,3007,0,请将人物等级提升至32级。,去找{1#600801●齐天大圣}接受任务吧,通关{2#3005●增长天王},完成任务，去找{1#600801●齐天大圣}吧,,,7497,2999,,7650,,,,,,,,,1
,3007,逃之夭夭,600801,600801,逃到兜率宫，打败丹炉守卫。,1,32,32,,3009,3,,,207,197,208,1,3006,1,,,,3006,3008,0,,去找{1#600801●齐天大圣}接受任务吧,通关{2#3006●丹炉守卫},完成任务，去找{1#600801●齐天大圣}吧,,,757,303,,765,,,,,,,,,
,3008,火烧兜率宫,600801,600801,烧毁兜率宫，打退循烟尘而来的雷公。,1,33,33,,3010,3,,707,209,197,210,1,3007,1,,,,3007,3009,0,请将人物等级提升至33级。,去找{1#600801●齐天大圣}接受任务吧,通关{2#3007●再战雷公},完成任务，去找{1#600801●齐天大圣}吧,,,7880,3152,,7650,,,,,,,,,1
