策划备注名,数据名,子物体,特效
毒针蜂,Z0026,,Z0026_E10_1~ble_Z0026_E10_2~Z0026_E10_3
花妖,Z0027,Z0027_E10_2,Z0027_E10_1
赤发鬼,Z0028,,Z0028_E10_1
吹箭鼠,Z0029,Z0029_E10_1,Z0029_E10_2
长枪虎精,Z0030,,Z0030_E10_1
唐刀官兵,Z0031,,Z0031_E10_1
狐妖,Z0032,,Z0032_E10_1
精细鬼,Z0033,,ble_Z0033_E10_1~Z0033_E10_2
伶俐虫,Z0034,,Z0034_E10_1
道士2,Z0035,,Z0035_E10_1
宝箱,Z0037,Z0037_E10_1,Z0037_E1_1~Z0037_E6_1~Z0037_E22_1
,,,
持国天王,A0001,A0001_E10_1~A0001_E16_1~A0001_E17_3,A0001_E17_1~A0001_E17_2
增长天王,A0002,A0002_E17_3,A0002_E10_1~ble_A0002_E16_1~A0002_E16_2~A0002_E16_3~A0002_E17_1
广目天王,A0003,A0003_E17_1,A0003_E10_1~ble_A0003_E16_1~A0003_E16_2~A0003_E16_3~A0003_E17_2
多闻天王,A0004,A0004_E17_1,A0004_E10_1~A0004_E16_1~A0004_E17_2~A0004_E17_3~A0004_E18_1~A0004_E18_2~A0004_E18_3
巨灵神,A0005,,A0005_E10_1~A0005_E10_2~A0005_E16_1~A0005_E17_1~A0005_E17_2
哪吒,A0006,A0006_E16_2~A0006_E18_3,A0006_E10_1~A0006_E16_1~A0006_E17_1~A0006_E17_2~A0006_E18_1~A0006_E18_2~A0006_E19_1~A0006_E19_2
李靖,A0007,A0007_E16_2~A0007_E16_5~A0007_E17_2~A0007_E17_4,A0007_E10_1~A0007_E16_1~A0007_E16_3~A0007_E16_4~A0007_E17_1~A0007_E17_3~A0007_E18_1
寅将军,A0008,,A0008_E10_1~A0008_E11_1~A0008_E16_1~A0008_E16_2~ble_A0008_E17_1~A0008_E17_2~A0008_E17_3~A0008_E18_1~A0008_E18_2~A0008_E18_3
猪魔,A0009,A0009_E17_3,A0009_E16_1~A0009_E16_2~A0009_E16_3~A0009_E16_4~ble_A0009_E17_1~A0009_E17_2~A0009_E18_1~A0009_E18_2~A0009_E18_3
熊罴怪,A0010,A0010_E17_2~A0010_E18_1,A0010_E10_1~A0010_E11_1~A0010_E11_2~A0010_E16_1~A0010_E16_2~A0010_E17_1~A0010_E17_3~A0010_E18_2
黄风怪,A0011,A0011_E16_2,A0011_E10_1~A0011_E16_1~A0011_E17_1~A0011_E17_2~A0011_E18_1
黄袍怪,A0012,,A0012_E10_1~A0012_E11_1~A0012_E16_1~A0012_E16_2~A0012_E17_1~A0012_E17_2~A0012_E18_1~A0012_E18_2
圣婴大王,A0013,A0013_E16_2~A0013_E17_1~A0013_E17_2~A0013_E18_2~A0013_E18_4,A0013_E10_1~A0013_E16_1~A0013_E16_3~A0013_E16_4~ble_A0013_E18_1~A0013_E18_3~A0013_E18_5
银角,A0019,A0019_E17_2~ble_A0019_E19_1~A0019_E19_4,A0019_E10_1~ble_A0019_E11_1~A0019_E11_2~A0019_E16_1~A0019_E16_2~A0019_E17_1~A0019_E17_3~A0019_E17_4~A0019_E18_1~A0019_E18_2~A0019_E18_3~A0019_E19_2~A0019_E19_3
紫霞,A0020,A0020_E18_3,A0020_E10_1~A0020_E16_1~A0020_E16_2~A0020_E17_1~A0020_E17_2~A0020_E18_1~A0020_E18_2
,,,
雷公,S0001,S0001_E17_2,S0001_E10_1~S0001_E16_1~ble_S0001_E16_2~S0001_E16_3~S0001_E17_1~S0001_E18_1~S0001_E18_2~S0001_E19_1~S0001_E19_2
二郎神,S0002,ble_S0002_E16_1~S0002_E16_2~ble_S0002_E17_1~ble_S0002_E17_2~S0002_E17_3~S0002_E18_1,S0002_E10_1~S0002_E11_1~S0002_E19_1~S0002_E19_2
阎王,S0003,S0003_E10_2,S0003_E10_1~S0003_E11_1~S0003_E11_2~S0003_E12_1
猪刚烈,S0004,,S0004_E10_1~S0004_E10_2~S0004_E16_1~S0004_E16_2~S0004_E17_1~S0004_E17_2~S0004_E17_3~S0004_E18_1~S0004_E18_2~S0004_E19_1~S0004_E19_2~S0004_E19_3
沙僧,S0005,S0005_E16_4~S0005_E17_2~S0005_E18_6,S0005_E10_1~S0005_E11_1~S0005_E16_1~S0005_E16_2~ble_S0005_E16_3~ble_S0005_E17_1~S0005_E17_3~S0005_E18_1~S0005_E18_2~S0005_E18_3~S0005_E18_4~S0005_E18_5~S0005_E19_1~S0005_E19_2~S0005_E19_3
镇元子,S0006,S0006_E17_1~S0006_E19_1,S0006_E10_1~S0006_E16_1~S0006_E17_4~S0006_E18_1~S0006_E18_2~S0006_E19_2~S0006_E19_3
白骨精,S0007,S0007_E16_2~S0007_E16_3~S0007_E17_2~ble_S0007_E17_3~S0007_E17_4~S0007_E18_3~S0007_E19_1,S0007_E10_1~S0007_E10_2~S0007_E11_1~S0007_E11_2~S0007_E16_1~S0007_E17_1~S0007_E18_1~S0007_E18_2~S0007_E19_4~S0007_E19_5
金角,S0008,S0008_E17_2~S0008_E17_3~S0008_E17_4~S0008_E17_5~S0008_E18_1,ble_S0008_E16_3~ble_S0008_E16_4~S0008_E10_1~S0008_E11_1~S0008_E16_1~S0008_E16_2~S0008_E17_1~S0008_E19_1
九尾妖狐,S0009,ble_S0009_E17_2~S0009_E17_3~ble_S0009_E17_4~S0009_E17_6~S0009_E17_7~S0009_E18_4~S0009_E18_5~ble_S0009_E18_6~S0009_E19_3~S0009_E19_4,ble_S0009_E16_1~S0009_E16_2~ble_S0009_E17_1~S0009_E17_5~S0009_E18_1~S0009_E18_2~S0009_E18_3~ble_S0009_E18_7~ble_S0009_E19_1~S0009_E19_2
嫦娥,S0011,ble_S0011_E17_1~S0011_E17_3,ble_S0011_E10_1~S0011_E10_2~ble_S0011_E11_1~S0011_E11_2~S0011_E11_3~ble_S0011_E16_1~S0011_E16_2~S0011_E17_2~ble_S0011_E18_1~ble_S0011_E18_2~ble_S0011_E19_1~S0011_E19_2
,,,
判官,B0001,,B0001_E10_1~B0001_E16_1~B0001_E16_2~B0001_E17_1~B0001_E17_2
青狮道人,B0002,,B0002_E10_1~ble_B0002_E11_1~B0002_E11_2~B0002_E11_3~B0002_E16_1~B0002_E16_2~B0002_E16_3~B0002_E17_1~B0002_E17_2~B0002_E17_3
赠品青狮,B0003,B0003_E16_2,B0003_E10_1~ble_B0003_E11_1~B0003_E11_2~B0003_E11_3~B0003_E16_1~B0003_E16_3~B0003_E17_1~B0003_E17_2~B0003_E17_3
,,,
大猴子,C0001,C0001_E16_2,C0001_E10_1~C0001_E10_2~C0001_E16_1~C0001_E16_3
斧头刑天,C0002,,C0002_E10_1~C0002_E16_1~C0002_E16_2
翼手男,C0003,,C0003_E10_1~C0003_E16_1
蝎尾兽,C0004,,C0004_E10_1~C0004_E16_1~C0004_E16_2
弓女,C0005,C0005_E10_1~C0005_E16_1,C0005_E16_2~C0005_E16_3
豹男,C0006,,C0006_E10_1~C0006_E16_1~C0006_E16_2
