策划备注名,副本ID,副本名,描述,章节ID,城镇ID,首关卡ID,背景图,类型,进入等级限制(≥可进入）,进入副本限制,（废弃）任务需求,体力消耗,离线挂机时间,副本组队时间,秒挂机花费（金币）,铜钱奖励,经验奖励,灵力奖励,法宝晶石,首次获得,物品奖励,副本掉落,掉落展示,妖魂亲密度奖励,翻牌品质1掉落组,翻牌品质1数量,翻牌每个品质1权重,翻牌品质2掉落组,翻牌品质2数量,翻牌每个品质2权重,翻牌品质3掉落组,翻牌品质3数量,翻牌每个品质3权重,翻牌价格,显血条BOSS,结束boss,时间得分,血量得分,连斩得分,伤害得分,boss单管血量,购买价格,关底boss限时
,id,name,desc,chapter_id,town_id,first_scene,pic,type,unlock_level,unlock_dungeon,unlock_task,action_expend,hang_time,team_time,hang_gold,cop_reward,exp_reward,wakan_reward,talisman_chip_reward,first_item_reward,item_reward,dungeon_drop,drop_show,intimacy_demon,cards1_drop,cards1_num,every_cards1_weight,cards2_drop,cards2_num,every_cards2_weight,cards3_drop,cards3_num,every_cards3_weight,cards_price,last_boss,finish_boss,time_score,hp_score,combo_score,hurt_score,hp_boss,num_gold_price,finish_boss_limit_time
,1012,勇战雷公,[C]0xffcc00[/C]金币[C/][BR][C]0x00B011[/C]星石[BR]斗魂贡品[C/]等,1,1,101201,1012,1,21,1011,,5,300,1800,10,1000,400,360,,1001000|1,,,,50,,,,,,,,,,,101291,101291,60,0.5,50,0.25,5000,,
,2001,勾魂使者,[C]0xffcc00[/C]金币[C/][BR][C]0x00B012[/C]星石[BR]斗魂贡品[C/]等,2,1,200101,2001,1,22,1012,,5,300,1800,10,1025,410,369,,1001000|1,,,,50,,,,,,,,,,,,,60,0.5,50,0.25,5000,,
,2002,强闯地府,[C]0xffcc00[/C]金币[C/][BR][C]0x00B013[/C]星石[BR]斗魂贡品[C/]等,2,1,200201,2002,1,23,2001,,5,300,1800,10,1050,420,378,,1001000|1,,,,50,,,,,,,,,,,200271,200271,60,0.5,50,0.25,5000,,
,2003,牛头马面,[C]0xffcc00[/C]金币[C/][BR][C]0x00B014[/C]星石[BR]斗魂贡品[C/]等,2,1,200301,2003,1,24,2002,,5,300,1800,10,1075,430,387,,1001000|1,,,,50,,,,,,,,,,,200371~200372,200371~200372,60,0.5,50,0.25,5000,,
,2004,幽冥之守,[C]0xffcc00[/C]金币[C/][BR][C]0x00B015[/C]星石[BR]斗魂贡品[C/]等,2,1,200401,2004,1,25,2003,,5,300,1800,10,1100,440,396,,1001000|1,,,,50,,,,,,,,,,,,,60,0.5,50,0.25,5000,,
,2005,生死判官,[C]0xffcc00[/C]金币[C/][BR][C]0x00B016[/C]星石[BR]斗魂贡品[C/]等,2,1,200501,2005,1,26,2004,,5,300,1800,10,1125,450,405,,1001000|1,,,,50,,,,,,,,,,,200591,200591,60,0.5,50,0.25,5000,,
,2006,步步深入,[C]0xffcc00[/C]金币[C/][BR][C]0x00B017[/C]星石[BR]斗魂贡品[C/]等,2,1,200601,2006,1,27,2005,,5,300,1800,10,1150,460,414,,1001000|1,,,,50,,,,,,,,,,,,,60,0.5,50,0.25,5000,,
,2007,森罗之途,[C]0xffcc00[/C]金币[C/][BR][C]0x00B018[/C]星石[BR]斗魂贡品[C/]等,2,1,200701,2007,1,28,2006,,5,300,1800,10,1175,470,423,,1001000|1,,,,50,,,,,,,,,,,,,60,0.5,50,0.25,5000,,
,2008,一笔勾销,[C]0xffcc00[/C]金币[C/][BR][C]0x00B019[/C]星石[BR]斗魂贡品[C/]等,2,1,200801,2008,1,29,2007,,5,300,1800,10,1200,480,432,,1001000|1,,,,50,,,,,,,,,,,200891,200891,60,0.5,50,0.25,5000,,
,3001,酒香飘然,[C]0xffcc00[/C]金币[C/][BR][C]0x00B020[/C]星石[BR]斗魂贡品[C/]等,3,8,300101,3001,1,30,2008,,5,300,1800,10,1225,490,441,,1001000|2,,,,50,,,,,,,,,,,,,60,0.5,50,0.25,5000,,
,3002,藏酒之处,[C]0xffcc00[/C]金币[C/][BR][C]0x00B021[/C]星石[BR]斗魂贡品[C/]等,3,8,300201,3002,1,30,3001,,5,300,1800,10,1225,490,441,,1001000|2,,,,50,,,,,,,,,,,,,60,0.5,50,0.25,10000,,
,3003,酒窖守卫,[C]0xffcc00[/C]金币[C/][BR][C]0x00B022[/C]星石[BR]斗魂贡品[C/]等,3,8,300301,3003,1,31,3002,,5,300,1800,10,1250,500,450,,1001000|2,,,,50,,,,,,,,,,,300391,300391,60,0.5,100,0.25,10000,,
,3004,受困窖中,[C]0xffcc00[/C]金币[C/][BR][C]0x00B023[/C]星石[BR]斗魂贡品[C/]等,3,8,300401,3013,1,31,3003,,5,300,1800,10,1250,500,450,,1001000|2,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,10000,,
,3005,增长天王,[C]0xffcc00[/C]金币[C/][BR][C]0x00B024[/C]星石[BR]斗魂贡品[C/]等,3,8,300501,3005,1,32,3004,,5,300,1800,10,1275,510,459,,1001000|2,,,,50,,,,,,,,,,,300591,300591,60,0.5,100,0.25,10000,,
,3006,丹炉守卫,[C]0xffcc00[/C]金币[C/][BR][C]0x00B025[/C]星石[BR]斗魂贡品[C/]等,3,8,300601,3006,1,32,3005,,5,300,1800,10,1275,510,459,,1001000|2,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,10000,,
,3007,再战雷公,[C]0xffcc00[/C]金币[C/][BR][C]0x00B026[/C]星石[BR]斗魂贡品[C/]等,3,8,300701,3007,1,33,3006,,5,300,1800,10,1300,520,468,,1001000|2,,,,50,,,,,,,,,,,300791,300791,90,0.5,100,0.25,10000,,
,3008,脱身兜率,[C]0xffcc00[/C]金币[C/][BR][C]0x00B027[/C]星石[BR]斗魂贡品[C/]等,3,8,300801,3008,1,33,3007,,5,300,1800,10,1300,520,468,,1001000|2,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,10000,,
,3009,巨神临门,[C]0xffcc00[/C]金币[C/][BR][C]0x00B028[/C]星石[BR]斗魂贡品[C/]等,3,8,300901,3009,1,34,3008,,5,300,1800,10,1325,530,477,,1001000|2,,,,50,,,,,,,,,,,300991,300991,90,0.5,100,0.25,10000,,
,3010,天庭血路,[C]0xffcc00[/C]金币[C/][BR][C]0x00B029[/C]星石[BR]斗魂贡品[C/]等,3,8,301001,3010,1,34,3009,,5,300,1800,10,1325,530,477,,1001000|2,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,10000,,
,3011,前后挟击,[C]0xffcc00[/C]金币[C/][BR][C]0x00B030[/C]星石[BR]斗魂贡品[C/]等,3,8,301101,3011,1,35,3010,,5,300,1800,10,1350,540,486,,1001000|2,,,,50,,,,,,,,,,,301191,301191,90,0.5,100,0.25,10000,,
,3012,广目天王,[C]0xffcc00[/C]金币[C/][BR][C]0x00B031[/C]星石[BR]斗魂贡品[C/]等,3,8,301201,3004,1,35,3011,,5,300,1800,10,1350,540,486,,1001000|2,,,,50,,,,,,,,,,,301291,301291,90,0.5,100,0.25,10000,,
,3013,通园小径,[C]0xffcc00[/C]金币[C/][BR][C]0x00B032[/C]星石[BR]斗魂贡品[C/]等,3,8,301301,3013,1,36,3012,,5,300,1800,10,1375,550,495,,1001000|2,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,10000,,
,3014,重重围堵,[C]0xffcc00[/C]金币[C/][BR][C]0x00B033[/C]星石[BR]斗魂贡品[C/]等,3,8,301401,3014,1,36,3013,,5,300,1800,10,1375,550,495,,1001000|2,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,10000,,
,3015,太子哪吒,[C]0xffcc00[/C]金币[C/][BR][C]0x00B034[/C]星石[BR]斗魂贡品[C/]等,3,8,301501,3015,1,37,3014,,5,300,1800,10,1400,560,504,,1001000|2,,,,50,,,,,,,,,,,301591,301591,90,0.5,100,0.25,10000,,
,3016,突破重围,[C]0xffcc00[/C]金币[C/][BR][C]0x00B035[/C]星石[BR]斗魂贡品[C/]等,3,8,301601,3016,1,37,3015,,5,300,1800,10,1400,560,504,,1001000|2,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,10000,,
,3017,逃出生天,[C]0xffcc00[/C]金币[C/][BR][C]0x00B036[/C]星石[BR]斗魂贡品[C/]等,3,8,301701,3017,1,38,3016,,5,300,1800,10,1425,570,513,,1001000|2,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,10000,,
,3018,托塔天王,[C]0xffcc00[/C]金币[C/][BR][C]0x00B037[/C]星石[BR]斗魂贡品[C/]等,3,8,301801,3018,1,38,3017,,5,300,1800,10,1425,570,513,,1001000|2,,,,50,,,,,,,,,,,301891,301891,90,0.5,100,0.25,10000,,
,3019,围困之兵,[C]0xffcc00[/C]金币[C/][BR][C]0x00B038[/C]星石[BR]斗魂贡品[C/]等,3,8,301901,3019,1,39,3018,,5,300,1800,10,1450,580,522,,1001000|2,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,10000,,
,3020,二郎真君,[C]0xffcc00[/C]金币[C/][BR][C]0x00B039[/C]星石[BR]斗魂贡品[C/]等,3,8,302001,3020,1,40,3019,,5,300,1800,10,1450,580,522,,1001000|2,,,,50,,,,,,,,,,,302091,302091,90,0.5,100,0.25,10000,,
,4001,崎岖山岭,[C]0xffcc00[/C]金币[C/][BR][C]0x00B040[/C]星石[BR]斗魂贡品[C/]等,4,2,400101,4001,1,40,3020,,5,300,1800,10,1475,590,531,,1001000|5,,,,50,,,,,,,,,,,400191,400191,90,0.5,100,0.25,10000,,
,4002,五行山下,[C]0xffcc00[/C]金币[C/][BR][C]0x00B041[/C]星石[BR]斗魂贡品[C/]等,4,2,400201,4002,1,40,4001,,5,300,1800,10,1475,590,531,,1001000|5,,,,50,,,,,,,,,,,400291,400291,90,0.5,100,0.25,10000,,
,4003,五行山顶,[C]0xffcc00[/C]金币[C/][BR][C]0x00B042[/C]星石[BR]斗魂贡品[C/]等,4,2,400301,4003,1,41,4002,,5,300,1800,10,1500,600,540,,1001000|5,,,,50,,,,,,,,,,,400391,400391,90,0.5,100,0.25,10000,,
,4004,双叉横桥,[C]0xffcc00[/C]金币[C/][BR][C]0x00B043[/C]星石[BR]斗魂贡品[C/]等,4,2,400401,4004,1,41,4003,,5,300,1800,10,1500,600,540,,1001000|5,,,,50,,,,,,,,,,,400491,400491,90,0.5,100,0.25,10000,,
,4005,拦路劫盗,[C]0xffcc00[/C]金币[C/][BR][C]0x00B044[/C]星石[BR]斗魂贡品[C/]等,4,2,400501,4005,1,42,4004,,5,300,1800,10,1525,610,549,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,10000,,
,4006,横桥尽头,[C]0xffcc00[/C]金币[C/][BR][C]0x00B045[/C]星石[BR]斗魂贡品[C/]等,4,2,400601,4006,1,42,4005,,5,300,1800,10,1525,610,549,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,10000,,
,4007,岭上寻虎,[C]0xffcc00[/C]金币[C/][BR][C]0x00B046[/C]星石[BR]斗魂贡品[C/]等,4,2,400701,4007,1,43,4006,,5,300,1800,10,1550,620,558,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,10000,,
,4008,力敌虎精,[C]0xffcc00[/C]金币[C/][BR][C]0x00B047[/C]星石[BR]斗魂贡品[C/]等,4,2,400801,4008,1,43,4007,,5,300,1800,10,1550,620,558,,1001000|5,,,,50,,,,,,,,,,,400891,400891,90,0.5,100,0.25,10000,,
,5001,古刹禅房,[C]0xffcc00[/C]金币[C/][BR][C]0x00B048[/C]星石[BR]斗魂贡品[C/]等,5,2,500101,5001,1,44,4008,,5,300,1800,10,1575,630,567,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,5002,取回袈裟,[C]0xffcc00[/C]金币[C/][BR][C]0x00B049[/C]星石[BR]斗魂贡品[C/]等,5,2,500201,5002,1,44,5001,,5,300,1800,10,1575,630,567,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,5003,翻查佛寺,[C]0xffcc00[/C]金币[C/][BR][C]0x00B050[/C]星石[BR]斗魂贡品[C/]等,5,2,500301,5003,1,45,5002,,5,300,1800,10,1600,640,576,,1001000|5,,,,50,,,,,,,,,,,500391,500391,90,0.5,100,0.25,20000,,
,5004,循迹追踪,[C]0xffcc00[/C]金币[C/][BR][C]0x00B051[/C]星石[BR]斗魂贡品[C/]等,5,2,500401,5004,1,45,5003,,5,300,1800,10,1600,640,576,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,5005,追索袈裟,[C]0xffcc00[/C]金币[C/][BR][C]0x00B052[/C]星石[BR]斗魂贡品[C/]等,5,2,500501,5005,1,46,5004,,5,300,1800,10,1625,650,585,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,5006,作势佯攻,[C]0xffcc00[/C]金币[C/][BR][C]0x00B053[/C]星石[BR]斗魂贡品[C/]等,5,2,500601,5006,1,46,5005,,5,300,1800,10,1625,650,585,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,5007,御前先锋,[C]0xffcc00[/C]金币[C/][BR][C]0x00B054[/C]星石[BR]斗魂贡品[C/]等,5,2,500701,5007,1,47,5006,,5,300,1800,10,1650,660,594,,1001000|5,,,,50,,,,,,,,,,,500791,500791,90,0.5,100,0.25,20000,,
,5008,智斗熊精,[C]0xffcc00[/C]金币[C/][BR][C]0x00B055[/C]星石[BR]斗魂贡品[C/]等,5,2,500801,5008,1,47,5007,,5,300,1800,10,1650,660,594,,1001000|5,,,,50,,,,,,,,,,,500891,500891,90,0.5,100,0.25,20000,,
,6001,荒野山庄,[C]0xffcc00[/C]金币[C/][BR][C]0x00B056[/C]星石[BR]斗魂贡品[C/]等,6,2,600101,6001,1,48,5008,,5,300,1800,10,1675,670,603,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,6002,黑雾深处,[C]0xffcc00[/C]金币[C/][BR][C]0x00B057[/C]星石[BR]斗魂贡品[C/]等,6,2,600201,6002,1,48,6001,,5,300,1800,10,1675,670,603,,1001000|5,,,,50,,,,,,,,,,,600291,600291,90,0.5,100,0.25,20000,,
,6003,险洞寻妖,[C]0xffcc00[/C]金币[C/][BR][C]0x00B058[/C]星石[BR]斗魂贡品[C/]等,6,2,600301,6003,1,49,6002,,5,300,1800,10,1700,680,612,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,6004,幽暗所在,[C]0xffcc00[/C]金币[C/][BR][C]0x00B059[/C]星石[BR]斗魂贡品[C/]等,6,2,600401,6004,1,49,6003,,5,300,1800,10,1700,680,612,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,6005,铁叉蝠王,[C]0xffcc00[/C]金币[C/][BR][C]0x00B060[/C]星石[BR]斗魂贡品[C/]等,6,2,600501,6005,1,50,6004,,5,300,1800,10,1725,690,621,,1001000|5,,,,50,,,,,,,,,,,600591,600591,90,0.5,100,0.25,20000,,
,6006,回护山庄,[C]0xffcc00[/C]金币[C/][BR][C]0x00B061[/C]星石[BR]斗魂贡品[C/]等,6,2,600601,6006,1,50,6005,,5,300,1800,10,1725,690,621,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,6007,驱赶猪魔,[C]0xffcc00[/C]金币[C/][BR][C]0x00B062[/C]星石[BR]斗魂贡品[C/]等,6,2,600701,6007,1,51,6006,,5,300,1800,10,1750,700,630,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,6008,大闹妖窟,[C]0xffcc00[/C]金币[C/][BR][C]0x00B063[/C]星石[BR]斗魂贡品[C/]等,6,2,600801,6008,1,51,6007,,5,300,1800,10,1750,700,630,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,6009,负隅而抗,[C]0xffcc00[/C]金币[C/][BR][C]0x00B064[/C]星石[BR]斗魂贡品[C/]等,6,2,600901,6009,1,52,6008,,5,300,1800,10,1775,710,639,,1001000|5,,,,50,,,,,,,,,,,600991,600991,90,0.5,100,0.25,20000,,
,6010,乌合之妖,[C]0xffcc00[/C]金币[C/][BR][C]0x00B065[/C]星石[BR]斗魂贡品[C/]等,6,2,601001,6010,1,52,6009,,5,300,1800,10,1775,710,639,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,6011,四散而逃,[C]0xffcc00[/C]金币[C/][BR][C]0x00B066[/C]星石[BR]斗魂贡品[C/]等,6,2,601101,6011,1,53,6010,,5,300,1800,10,1800,720,648,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,6012,降服猪妖,[C]0xffcc00[/C]金币[C/][BR][C]0x00B067[/C]星石[BR]斗魂贡品[C/]等,6,2,601201,6012,1,53,6011,,5,300,1800,10,1800,720,648,,1001000|5,,,,50,,,,,,,,,,,601291,601291,90,0.5,100,0.25,20000,,
,7001,险峻山下,[C]0xffcc00[/C]金币[C/][BR][C]0x00B068[/C]星石[BR]斗魂贡品[C/]等,7,2,700101,7001,1,54,6012,,5,300,1800,10,1825,730,657,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,7002,奇山妖风,[C]0xffcc00[/C]金币[C/][BR][C]0x00B069[/C]星石[BR]斗魂贡品[C/]等,7,2,700201,7002,1,54,7001,,5,300,1800,10,1825,730,657,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,7003,威威虎息,[C]0xffcc00[/C]金币[C/][BR][C]0x00B070[/C]星石[BR]斗魂贡品[C/]等,7,2,700301,7003,1,55,7002,,5,300,1800,10,1850,740,666,,1001000|5,,,,50,,,,,,,,,,,700391,700391,90,0.5,100,0.25,20000,,
,7004,风中寻影,[C]0xffcc00[/C]金币[C/][BR][C]0x00B071[/C]星石[BR]斗魂贡品[C/]等,7,2,700401,7004,1,55,7003,,5,300,1800,10,1850,740,666,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,7005,妖门叫阵,[C]0xffcc00[/C]金币[C/][BR][C]0x00B072[/C]星石[BR]斗魂贡品[C/]等,7,2,700501,7005,1,56,7004,,5,300,1800,10,1875,750,675,,1001000|5,,,,50,,,,,,,,,,,700591,700591,90,0.5,100,0.25,20000,,
,7006,掠杀之虎,[C]0xffcc00[/C]金币[C/][BR][C]0x00B073[/C]星石[BR]斗魂贡品[C/]等,7,2,700601,7006,1,56,7005,,5,300,1800,10,1875,750,675,,1001000|5,,,,50,,,,,,,,,,,700691,700691,90,0.5,100,0.25,20000,,
,7007,黄沙掩目,[C]0xffcc00[/C]金币[C/][BR][C]0x00B074[/C]星石[BR]斗魂贡品[C/]等,7,2,700701,7007,1,57,7006,,5,300,1800,10,1900,760,684,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,7008,降服风怪,[C]0xffcc00[/C]金币[C/][BR][C]0x00B075[/C]星石[BR]斗魂贡品[C/]等,7,2,700801,7008,1,57,7007,,5,300,1800,10,1900,760,684,,1001000|5,,,,50,,,,,,,,,,,700891,700891,90,0.5,100,0.25,20000,,
,8001,恶水拦道,[C]0xffcc00[/C]金币[C/][BR][C]0x00B076[/C]星石[BR]斗魂贡品[C/]等,8,2,800101,8001,1,58,7008,,5,300,1800,10,1925,770,693,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,8002,寻妖渡河,[C]0xffcc00[/C]金币[C/][BR][C]0x00B077[/C]星石[BR]斗魂贡品[C/]等,8,2,800201,8002,1,58,8001,,5,300,1800,10,1925,770,693,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,8003,矮脚鱼精,[C]0xffcc00[/C]金币[C/][BR][C]0x00B078[/C]星石[BR]斗魂贡品[C/]等,8,2,800301,8003,1,59,8002,,5,300,1800,10,1950,780,702,,1001000|5,,,,50,,,,,,,,,,,800391,800391,90,0.5,100,0.25,20000,,
,8004,浑波涌浪,[C]0xffcc00[/C]金币[C/][BR][C]0x00B079[/C]星石[BR]斗魂贡品[C/]等,8,2,800401,8004,1,59,8003,,5,300,1800,10,1950,780,702,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,8005,搅乱河府,[C]0xffcc00[/C]金币[C/][BR][C]0x00B080[/C]星石[BR]斗魂贡品[C/]等,8,2,800501,8005,1,60,8004,,5,300,1800,10,1975,790,711,,1001000|5,,,,50,,,,,,,,,,,800591,800591,90,0.5,100,0.25,20000,,
,8006,再诱河妖,[C]0xffcc00[/C]金币[C/][BR][C]0x00B081[/C]星石[BR]斗魂贡品[C/]等,8,2,800601,8006,1,60,8005,,5,300,1800,10,1975,790,711,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,8007,入河寻妖,[C]0xffcc00[/C]金币[C/][BR][C]0x00B082[/C]星石[BR]斗魂贡品[C/]等,8,2,800701,8007,1,61,8006,,5,300,1800,10,2000,800,720,,1001000|5,,,,50,,,,,,,,,,,800771~800772,800771~800772,90,0.5,100,0.25,20000,,
,8008,自投罗网,[C]0xffcc00[/C]金币[C/][BR][C]0x00B083[/C]星石[BR]斗魂贡品[C/]等,8,2,800801,8008,1,61,8007,,5,300,1800,10,2000,800,720,,1001000|5,,,,50,,,,,,,,,,,800891,800891,90,0.5,100,0.25,20000,,
,9001,棍打仙果,[C]0xffcc00[/C]金币[C/][BR][C]0x00B084[/C]星石[BR]斗魂贡品[C/]等,9,2,900101,9001,1,62,8008,,5,300,1800,10,2025,810,729,,1001000|5,,,,50,,,,,,,,,,,900171,900171,90,0.5,100,0.25,20000,,
,9002,道房取物,[C]0xffcc00[/C]金币[C/][BR][C]0x00B085[/C]星石[BR]斗魂贡品[C/]等,9,2,900201,9002,1,62,9001,,5,300,1800,10,2025,810,729,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,9003,妙手取宝,[C]0xffcc00[/C]金币[C/][BR][C]0x00B086[/C]星石[BR]斗魂贡品[C/]等,9,2,900301,9003,1,63,9002,,5,300,1800,10,2050,820,738,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,9004,对峙园中,[C]0xffcc00[/C]金币[C/][BR][C]0x00B087[/C]星石[BR]斗魂贡品[C/]等,9,2,900401,9004,1,63,9003,,5,300,1800,10,2050,820,738,,1001000|5,,,,50,,,,,,,,,,,900471~900472,900471~900472,90,0.5,100,0.25,20000,,
,9005,毁树除根,[C]0xffcc00[/C]金币[C/][BR][C]0x00B088[/C]星石[BR]斗魂贡品[C/]等,9,2,900501,9005,1,64,9004,,5,300,1800,10,2075,830,747,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,9006,斩尽树灵,[C]0xffcc00[/C]金币[C/][BR][C]0x00B089[/C]星石[BR]斗魂贡品[C/]等,9,2,900601,9006,1,64,9005,,5,300,1800,10,2075,830,747,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
,9007,匆匆而逃,[C]0xffcc00[/C]金币[C/][BR][C]0x00B090[/C]星石[BR]斗魂贡品[C/]等,9,2,900701,9007,1,65,9006,,5,300,1800,10,2100,840,756,,1001000|5,,,,50,,,,,,,,,,,,,60,0.5,100,0.25,20000,,
