静物500000+,角色ID,角色名,描述,动作,数据,半身像,头像,属性模版ID,AI ID,可碰撞,碰撞大小,可攻击,可破坏,击杀掉落,补品ID,符号显示高度
,500304,琉璃盏-可破坏（大）,,FM3_j1,FM3_j1,,,300001,,1,1,1,1,,,
,500305,琉璃盏-可破坏（全）,,FM3_j1,FM3_j1,,,300001,,1,1,1,1,,,
,500306,圣光宝塔-可破坏（空）,,FM3_j2,FM3_j2,,,300001,,1,1,1,1,,,
,500307,圣光宝塔-可破坏（小）,,FM3_j2,FM3_j2,,,300001,,1,1,1,1,,,
,500308,圣光宝塔-可破坏（中）,,FM3_j2,FM3_j2,,,300001,,1,1,1,1,,,
,500309,圣光宝塔-可破坏（大）,,FM3_j2,FM3_j2,,,300001,,1,1,1,1,,,
,500310,圣光宝塔-可破坏（全）,,FM3_j2,FM3_j2,,,300001,,1,1,1,1,,,
,510311,倒塌的琉璃盏,,FM3_h1,,,,,,,,,,,,
,510312,倒塌的墙壁,,FM3_h2,,,,,,,,,,,,
,500401,拒马-可破坏（空）,,FM4_j1,FM4_j1,,,300001,,1,1,1,1,,,
,500402,拒马-可破坏（小）,,FM4_j1,FM4_j1,,,300001,,1,1,1,1,,,
,500403,拒马-可破坏（中）,,FM4_j1,FM4_j1,,,300001,,1,1,1,1,,,
,500404,拒马-可破坏（大）,,FM4_j1,FM4_j1,,,300001,,1,1,1,1,,,
,500405,拒马-可破坏（全）,,FM4_j1,FM4_j1,,,300001,,1,1,1,1,,,
,500406,腐烂的车,,FM4_h1,,,,,,,,,,,,
,500501,巨大花瓶-可破坏（空）,,FM5_j1,FM5_j1,,,300001,,1,1,1,1,,,
,500502,巨大花瓶-可破坏（小）,,FM5_j1,FM5_j1,,,300001,,1,1,1,1,,,
,500503,巨大花瓶-可破坏（中）,,FM5_j1,FM5_j1,,,300001,,1,1,1,1,,,
,500504,巨大花瓶-可破坏（大）,,FM5_j1,FM5_j1,,,300001,,1,1,1,1,,,
,500505,巨大花瓶-可破坏（全）,,FM5_j1,FM5_j1,,,300001,,1,1,1,1,,,
,500506,巨大花瓶2-可破坏（空）,,FM5_j2,FM5_j2,,,300001,,1,1,1,1,,,
,500507,巨大花瓶2-可破坏（小）,,FM5_j2,FM5_j2,,,300001,,1,1,1,1,,,
,500508,巨大花瓶2-可破坏（中）,,FM5_j2,FM5_j2,,,300001,,1,1,1,1,,,
,500509,巨大花瓶2-可破坏（大）,,FM5_j2,FM5_j2,,,300001,,1,1,1,1,,,
,500510,巨大花瓶2-可破坏（全）,,FM5_j2,FM5_j2,,,300001,,1,1,1,1,,,
,510511,雕像-可破坏（空）,,FM5_j3,FM5_j3,,,300001,,1,1,1,1,,,
,510512,雕像-可破坏（小）,,FM5_j3,FM5_j3,,,300001,,1,1,1,1,,,
,510513,雕像-可破坏（中）,,FM5_j3,FM5_j3,,,300001,,1,1,1,1,,,
,510514,雕像-可破坏（大）,,FM5_j3,FM5_j3,,,300001,,1,1,1,1,,,
,510515,雕像-可破坏（全）,,FM5_j3,FM5_j3,,,300001,,1,1,1,1,,,
,500601,酒堆-可破坏（空）,,FM6_j1,FM6_j1,,,300001,,1,1,1,1,,,
,500602,酒堆-可破坏（小）,,FM6_j1,FM6_j1,,,300001,,1,1,1,1,,,
,500603,酒堆-可破坏（中）,,FM6_j1,FM6_j1,,,300001,,1,1,1,1,,,
,500604,酒堆-可破坏（大）,,FM6_j1,FM6_j1,,,300001,,1,1,1,1,,,
,500605,酒堆-可破坏（全）,,FM6_j1,FM6_j1,,,300001,,1,1,1,1,,,
,500606,破损神像-可破坏（空）,,FM6_j2,FM6_j2,,,300001,,1,1,1,1,,,
,500607,破损神像-可破坏（小）,,FM6_j2,FM6_j2,,,300001,,1,1,1,1,,,
,500608,破损神像-可破坏（中）,,FM6_j2,FM6_j2,,,300001,,1,1,1,1,,,
,500609,破损神像-可破坏（大）,,FM6_j2,FM6_j2,,,300001,,1,1,1,1,,,
,500610,破损神像-可破坏（全）,,FM6_j2,FM6_j2,,,300001,,1,1,1,1,,,
,500701,妖魂塔-可破坏（空）,,FM7_j1,FM7_j1,,,300001,,1,1,1,1,,,
,500702,妖魂塔-可破坏（小）,,FM7_j1,FM7_j1,,,300001,,1,1,1,1,,,
,500703,妖魂塔-可破坏（中）,,FM7_j1,FM7_j1,,,300001,,1,1,1,1,,,
,500704,妖魂塔-可破坏（大）,,FM7_j1,FM7_j1,,,300001,,1,1,1,1,,,
,500705,妖魂塔-可破坏（全）,,FM7_j1,FM7_j1,,,300001,,1,1,1,1,,,
,500706,沙堡骷髅,,FM7_h1,,,,,,,,,,,,
,500801,骷髅头堆-可破坏（空）,,FM8_j1,FM8_j1,,,300001,,1,1,1,1,,,
,500802,骷髅头堆-可破坏（小）,,FM8_j1,FM8_j1,,,300001,,1,1,1,1,,,
,500803,骷髅头堆-可破坏（中）,,FM8_j1,FM8_j1,,,300001,,1,1,1,1,,,
,500804,骷髅头堆-可破坏（大）,,FM8_j1,FM8_j1,,,300001,,1,1,1,1,,,
,500805,骷髅头堆-可破坏（全）,,FM8_j1,FM8_j1,,,300001,,1,1,1,1,,,
,500901,石雕灯-可破坏（空）,,FM9_j1,FM9_j1,,,300001,,1,1,1,1,,,
,500902,石雕灯-可破坏（小）,,FM9_j1,FM9_j1,,,300001,,1,1,1,1,,,
,500903,石雕灯-可破坏（中）,,FM9_j1,FM9_j1,,,300001,,1,1,1,1,,,
,500904,石雕灯-可破坏（大）,,FM9_j1,FM9_j1,,,300001,,1,1,1,1,,,
,500905,石雕灯-可破坏（全）,,FM9_j1,FM9_j1,,,300001,,1,1,1,1,,,
,501001,木质棺材-可破坏（空）,,FM10_j1,FM10_j1,,,300001,,1,1,1,1,,,
,501002,木质棺材-可破坏（小）,,FM10_j1,FM10_j1,,,300001,,1,1,1,1,,,
,501003,木质棺材-可破坏（中）,,FM10_j1,FM10_j1,,,300001,,1,1,1,1,,,
,501004,木质棺材-可破坏（大）,,FM10_j1,FM10_j1,,,300001,,1,1,1,1,,,
,501005,木质棺材-可破坏（全）,,FM10_j1,FM10_j1,,,300001,,1,1,1,1,,,
,501006,木质棺材2-可破坏（空）,,FM10_j2,FM10_j2,,,300001,,1,1,1,1,,,
,501007,木质棺材2-可破坏（小）,,FM10_j2,FM10_j2,,,300001,,1,1,1,1,,,
,501008,木质棺材2-可破坏（中）,,FM10_j2,FM10_j2,,,300001,,1,1,1,1,,,
,501009,木质棺材2-可破坏（大）,,FM10_j2,FM10_j2,,,300001,,1,1,1,1,,,
,501010,木质棺材2-可破坏（全）,,FM10_j2,FM10_j2,,,300001,,1,1,1,1,,,
,501101,巨石-可破坏（空）,,FM11_j1,FM11_j1,,,300001,,1,1,1,1,,,
,501102,巨石-可破坏（小）,,FM11_j1,FM11_j1,,,300001,,1,1,1,1,,,
,501103,巨石-可破坏（中）,,FM11_j1,FM11_j1,,,300001,,1,1,1,1,,,
,501104,巨石-可破坏（大）,,FM11_j1,FM11_j1,,,300001,,1,1,1,1,,,
,501105,巨石-可破坏（全）,,FM11_j1,FM11_j1,,,300001,,1,1,1,1,,,
,501301,石狮子-可破坏（空）,,FM13_j1,FM13_j1,,,300001,,1,1,1,1,,,
,501302,石狮子-可破坏（小）,,FM13_j1,FM13_j1,,,300001,,1,1,1,1,,,
,501303,石狮子-可破坏（中）,,FM13_j1,FM13_j1,,,300001,,1,1,1,1,,,
,501304,石狮子-可破坏（大）,,FM13_j1,FM13_j1,,,300001,,1,1,1,1,,,
,501305,石狮子-可破坏（全）,,FM13_j1,FM13_j1,,,300001,,1,1,1,1,,,
,501401,火盆-可破坏（空）,,FM14_j1,FM14_j1,,,300001,,1,1,1,1,,,
,501402,火盆-可破坏（小）,,FM14_j1,FM14_j1,,,300001,,1,1,1,1,,,
,501403,火盆-可破坏（中）,,FM14_j1,FM14_j1,,,300001,,1,1,1,1,,,
,501404,火盆-可破坏（大）,,FM14_j1,FM14_j1,,,300001,,1,1,1,1,,,
,501405,火盆-可破坏（全）,,FM14_j1,FM14_j1,,,300001,,1,1,1,1,,,
,501406,骷髅架-可破坏（空）,,FM14_j2,FM14_j2,,,300001,,1,1,1,1,,,
,501407,骷髅架-可破坏（小）,,FM14_j2,FM14_j2,,,300001,,1,1,1,1,,,
,501408,骷髅架-可破坏（中）,,FM14_j2,FM14_j2,,,300001,,1,1,1,1,,,
,501409,骷髅架-可破坏（大）,,FM14_j2,FM14_j2,,,300001,,1,1,1,1,,,
,501410,骷髅架-可破坏（全）,,FM14_j2,FM14_j2,,,300001,,1,1,1,1,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,505000,副本入口,,common_Edeliver_1,,,,300001,,1,1,0,0,,,
,,,,,,,,,,,,,,,,
,510001,全补血桶,,fm1_G01,fm1_J01,,,300001,,,,,,10000|50008,,
,510002,类小怪血桶,,fm1_G01,fm1_J01,,,300001,,,,,,1000|50001,,
,510003,类精英血桶,,fm1_G01,fm1_J01,,,300001,,,,,,3000|50002,,
,510004,类boss血桶,,fm1_G01,fm1_J01,,,300001,,,,,,5000|50003,,
,510005,满蓝 满血,,fm1_G01,fm1_J01,,,300001,,,,,,10000|50008~10000|50009,,
,,,,,,,,,,,,,,,,
,51300001,小血量球,,blood,blood,,,,,,,,,,1,
,511002,中血量球,,blood,blood,,,,,,,,,,2,
,511003,大血量球,,blood,blood,,,,,,,,,,3,
,511004,全血量球,,blood,blood,,,,,,,,,,4,
,512001,小元神球,,blood,blood,,,,,,,,,,5,
,512002,中元神球,,blood,blood,,,,,,,,,,6,
,512003,大元神球,,blood,blood,,,,,,,,,,7,
,512004,全元神球,,blood,blood,,,,,,,,,,8,
,513001,小战意球,,blood,blood,,,,,,,,,,9,
,513002,中战意球,,blood,blood,,,,,,,,,,10,
,513003,大战意球,,blood,blood,,,,,,,,,,11,
,513004,全战意球,,blood,blood,,,,,,,,,,12,
,514001,小无双球,,blood,blood,,,,,,,,,,13,
,514002,中无双球,,blood,blood,,,,,,,,,,14,
,514003,大无双球,,blood,blood,,,,,,,,,,15,
,514004,全无双球,,blood,blood,,,,,,,,,,16,
