S=19 A=1 B=2 C=3 Z=26   资源名+动作名=技能名,技能ID,技能名,描述 0基础伤害 1物攻% 2技攻% 3法攻% ,图标,小图标,类型,CD时间,动作动画,额外数据ID,升级价格,血消耗,元气消耗,无双消耗,战意消耗,法宝消耗,显示用伤害段,伤害1段 类型,伤害1段 数值,伤害2段 类型,伤害2段 数值,伤害3段 类型,伤害3段 数值,伤害4段 类型,伤害4段 数值,伤害5段 类型,伤害5段 数值,伤害6段 类型,伤害6段 数值,伤害7段 类型,伤害7段 数值,伤害8段 类型,伤害8段 数值
,100004,宝伞天华,召唤北方守护之神器宝伞，袭出旋回，来往间对敌人造成[C]0x00B000[/C]{1}%[C/]攻击的的伤害。,demon/6100.png,demon/6100_small.png,4,3,49,100004,,,,,250,,0|0~0.6333|0.0211~0|0~0|0,1,0|0~0.6333|0.0211~0|0~0|0,1,0|0~0.6333|0.0211~0|0~0|0,,,,,,,,,,,,
,100005,六道轮回,高举法槌，召唤地狱阴森之地万千亡魂而出，对敌人造成[C]0x00B000[/C]{1}%[C/]攻击的的伤害。,demon/6170.png,demon/6170_small.png,4,3,49,100005,,,,,250,,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,200001,放狼,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3055.png,talisman/3055_small.png,5,3,50,200001,,,,,,1,,1,,1,,,,,,,,,,,,,
,200002,刮风,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3055.png,talisman/3055_small.png,5,3,50,200002,,,,,,1,,1,,1,,,,,,,,,,,,,
,200003,放猴子,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3055.png,talisman/3055_small.png,5,3,50,200003,,,,,,1,,1,,1,,,,,,,,,,,,,
,200004,放蛇,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3055.png,talisman/3055_small.png,5,3,50,200004,,,,,,1,,1,,1,,,,,,,,,,,,,
,200005,冰扇,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3002.png,talisman/3002_small.png,5,3,50,200005,,,,,,1,,1,,1,,,,,,,,,,,,,
,200006,火扇,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3003.png,talisman/3003_small.png,5,3,50,200006,,,,,,1,,1,,1,,,,,,,,,,,,,
,200007,无影刀,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3004.png,talisman/3004_small.png,5,3,50,200007,,,,,,1,2000|0~12.5|0~0|0~0|0,1,2000|0~12.5|0~0|0~0|0,1,2000|0~12.5|0~0|0~0|0,,,,,,,,,,,,
,200008,突木桩,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3005.png,talisman/3005_small.png,5,3,50,200008,,,,,,1,3500|0~12.5|0~0|0~0|0,1,3500|0~12.5|0~0|0~0|0,1,3500|0~12.5|0~0|0~0|0,,,,,,,,,,,,
,200009,寒冰掌,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3006.png,talisman/3006_small.png,5,3,50,200009,,,,,,1,600|0~5|0~0|0~0|0,1,600|0~5|0~0|0~0|0,1,600|0~5|0~0|0~0|0,,,,,,,,,,,,
,200010,天罡火,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3007.png,talisman/3007_small.png,5,3,50,210010~220010~230010~240010~250010,,,,,,1,1500|0~12.5|0~0|0~0|0,1,1500|0~12.5|0~0|0~0|0,1,1500|0~12.5|0~0|0~0|0,,,,,,,,,,,,
,200011,地煞功,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3008.png,talisman/3008_small.png,5,3,50,200011,,,,,,1,1500|0~25|0~0|0~0|0,1,1500|0~25|0~0|0~0|0,1,1500|0~25|0~0|0~0|0,,,,,,,,,,,,
,200012,托塔,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3013.png,talisman/3013_small.png,5,3,50,200012,,,,,,1,,1,,1,,,,,,,,,,,,,
,200013,照妖镜,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3035.png,talisman/3035_small.png,5,3,50,200013,,,,,,1,,1,,1,,,,,,,,,,,,,
,200014,辟火罩儿,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3055.png,talisman/3055_small.png,5,3,50,200014,,,,,,1,,1,,1,,,,,,,,,,,,,
,200015,五彩仙衣,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3020.png,talisman/3020_small.png,5,3,50,200015,,,,,,1,,1,,1,,,,,,,,,,,,,
,200016,宣花斧,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3001.png,talisman/3001_small.png,5,3,50,200016,,,,,,1,,1,,1,,,,,,,,,,,,,
,200017,电符,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3014.png,talisman/3014_small.png,5,3,50,200017,,,,,,1,,1,,1,,,,,,,,,,,,,
,200018,宝葫芦,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3015.png,talisman/3015_small.png,5,3,50,200018,,,,,,1,,1,,1,,,,,,,,,,,,,
,200019,辟水珠,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3016.png,talisman/3016_small.png,5,3,50,200019,,,,,,1,,1,,1,,,,,,,,,,,,,
,200020,释厄剑,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3022.png,talisman/3022_small.png,5,3,50,200020,,,,,,1,1000|0~7.5|0~0|0~0|0,1,1000|0~7.5|0~0|0~0|0,1,1000|0~7.5|0~0|0~0|0,,,,,,,,,,,,
,200021,雷电戟,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3023.png,talisman/3023_small.png,5,3,50,200021,,,,,,1,850|0~6.5|0~0|0~0|0,1,850|0~6.5|0~0|0~0|0,1,850|0~6.5|0~0|0~0|0,,,,,,,,,,,,
,200022,玄冰斧,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3024.png,talisman/3024_small.png,5,3,50,200022,,,,,,1,900|0~7|0~0|0~0|0,1,900|0~7|0~0|0~0|0,1,900|0~7|0~0|0~0|0,,,,,,,,,,,,
,200023,火云刀,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3025.png,talisman/3025_small.png,5,3,50,200023,,,,,,1,,1,,1,,,,,,,,,,,,,
,200024,金刚咒,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3026.png,talisman/3026_small.png,5,3,50,200024,,,,,,1,,1,,1,,,,,,,,,,,,,
,200025,混天绫,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3009.png,talisman/3009_small.png,5,3,50,200025,,,,,,1,,1,,1,,,,,,,,,,,,,
,200026,火尖枪,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3010.png,talisman/3010_small.png,5,3,50,200026,,,,,,1,,1,,1,,,,,,,,,,,,,
,200027,风火轮,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3011.png,talisman/3011_small.png,5,3,50,200027,,,,,,1,,1,,1,,,,,,,,,,,,,
,200028,乾坤圈,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3012.png,talisman/3012_small.png,5,3,50,200028,,,,,,1,,1,,1,,,,,,,,,,,,,
,200029,幌金绳,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3039.png,talisman/3039_small.png,5,3,50,200029,,,,,,1,,1,,1,,,,,,,,,,,,,
,200030,红葫芦,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3033.png,talisman/3033_small.png,5,3,50,200030,,,,,,1,,1,,1,,,,,,,,,,,,,
,200031,紫金铃,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3041.png,talisman/3041_small.png,5,3,50,200031,,,,,,1,,1,,1,,,,,,,,,,,,,
,200032,七星剑,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3032.png,talisman/3032_small.png,5,3,50,200032,,,,,,1,,1,,1,,,,,,,,,,,,,
,200033,定海神针(如意金箍棒),对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3044.png,talisman/3044_small.png,5,3,50,200033,,,,,,1,,1,,1,,,,,,,,,,,,,
,200034,玉净瓶,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3038.png,talisman/3038_small.png,5,3,50,200034,,,,,,1,,1,,1,,,,,,,,,,,,,
,200035,芭蕉扇（阳）,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3046.png,talisman/3046_small.png,5,3,50,200035,,,,,,1,,1,,1,,,,,,,,,,,,,
,200036,芭蕉扇（阴）,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3045.png,talisman/3045_small.png,5,3,50,200036,,,,,,1,,1,,1,,,,,,,,,,,,,
,200037,金饶,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3027.png,talisman/3027_small.png,5,3,50,200037,,,,,,1,,1,,1,,,,,,,,,,,,,
,200038,净瓶杨柳,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3055.png,talisman/3055_small.png,5,3,50,200038,,,,,,1,,1,,1,,,,,,,,,,,,,
,200039,阴阳二气瓶,对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3043.png,talisman/3043_small.png,5,3,50,200039,,,,,,1,,1,,1,,,,,,,,,,,,,
,200040,金刚琢(金刚套),对周身敌人造成{1}%攻击+{0}点伤害。,talisman/3047.png,talisman/3047_small.png,5,3,50,200040,,,,,,1,,1,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000110,持国天王普攻,持国天王普攻,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
,1000116,天音诀,急拨琵琶丝弦，激荡之音化作凛冽刀光袭向敌人。,skillicon/4093.png,skillicon/4093_small.png,2,3,16,,,,,,,,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,,,,,,,,,,,,
,1000117,天音阵,祭出宝具琵琶，运诀成阵，弦音四起，杀气腾腾，对阵中敌人造成伤害。,skillicon/4907.png,skillicon/4907_small.png,2,3,17,,,,,,,,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000210,增长天王普攻,,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
重装,1000216,钝剑无锋,提剑对敌，剑芒化作锐利蓝光冲击敌人。,skillicon/4901.png,skillicon/4901_small.png,2,3,16,,,,,,,,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,,,,,,,,,,,,
落剑阵,1000217,万剑成诀,以手中宝剑召唤剑意，结成阵法如狂雨落地攻击敌人。,skillicon/4907.png,skillicon/4907_small.png,2,3,17,,,,,,,,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,1,0|0~0.55|0.0183~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000310,广目天王普攻,,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
重击,1000316,螭龙咬杀,盘身螭龙沿臂攀出，迅猛扑咬敌人喉咙。,skillicon/4902.png,skillicon/4902_small.png,2,3,16,,,,,,,,0|0~1.03|0.0343~0|0~0|0,1,0|0~1.03|0.0343~0|0~0|0,1,0|0~1.03|0.0343~0|0~0|0,,,,,,,,,,,,
召唤蛇,1000317,螭龙战野,盘身螭龙上抛于天，幻身于地，破土而出袭击敌人。,skillicon/4907.png,skillicon/4907_small.png,2,3,17,,,,,,,,0|0~1.03|0.0343~0|0~0|0,1,0|0~1.03|0.0343~0|0~0|0,1,0|0~1.03|0.0343~0|0~0|0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000410,多闻天王普攻,,skillicon/11.png,skillicon/11.png,2,3,10,,,,,,,,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,1,0|0~1|0~0|0~0|0,,,,,,,,,,,,
旋风转转转,1000416,轮舞光刃,双手持伞旋身而动，伞身凝起耀眼华光，对接触敌人造成伤害。,skillicon/4013.png,skillicon/4013_small.png,2,3,16,,,,,,,,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,1,0|0~0.675|0.0225~0|0~0|0,,,,,,,,,,,,
