策划备注名,副本ID,副本名,描述,章节ID,城镇ID,首关卡ID,背景图,类型,进入等级限制(≥可进入）,进入副本限制,任务显示需求(已接 可交 已完成）,体力消耗,离线挂机时间,副本组队时间,秒挂机花费（金币）,铜钱奖励,经验奖励,灵力奖励,法宝晶石,首次获得,物品奖励,副本掉落,掉落展示,妖魂亲密度奖励,翻牌品质1掉落组,翻牌品质1数量,翻牌每个品质1权重,翻牌品质2掉落组,翻牌品质2数量,翻牌每个品质2权重,翻牌品质3掉落组,翻牌品质3数量,翻牌每个品质3权重,翻牌价格,显血条BOSS,结束boss,时间得分,血量得分,连斩得分,伤害得分,boss单管血量,购买价格,关底boss限时
,101010,精英李靖,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B009[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,8,10101001,3018,2,43,101009,300010,10,600,1800,20,6200,2480,2232,,,,,1000006~1000005~5084101~5084102~5084103~5084104~5084010~5084020~5084030~5084050~5084060~5084070~5084080~5084090~1000500~1000504~1000501,50,11040,3,100,12040,3,40,13040,2,5,0~5~10~15~20~25,10101091,10101091,240,0.5,250,0.25,20000,2,180
,101011,精英二郎神,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B010[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,8,10101101,3020,2,46,101010,300011,10,600,1800,20,6500,2600,2340,,,,,1000006~1000005~5084101~5084102~5084103~5084104~5084010~5084020~5084030~5084050~5084060~5084070~5084080~5084090~1000500~1000504~1000501,50,11040,3,100,12040,3,40,13040,2,5,0~5~10~15~20~25,10101191,10101191,240,0.5,250,0.25,50000,2,180
,102001,精英寅将军,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B011[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,2,10200101,4001,2,50,101011,300012,10,600,1800,20,6900,2760,2484,,,,,1000006~1000005~5104101~5104102~5104103~5104104~5104010~5104020~5104030~5104050~5104060~5104070~5104080~5104090~1000500~1000504~1000501,50,11050,3,100,12050,3,40,13050,2,5,0~5~10~15~20~25,10200191,10200191,240,0.5,250,0.25,50000,2,180
,102002,精英熊罴精,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B012[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,2,10200201,5008,2,53,102001,300013,10,600,1800,20,7200,2880,2592,,,,,1000006~1000005~5104101~5104102~5104103~5104104~5104010~5104020~5104030~5104050~5104060~5104070~5104080~5104090~1000500~1000504~1000501,50,11050,3,100,12050,3,40,13050,2,5,0~5~10~15~20~25,10200291,10200291,240,0.5,250,0.25,50000,2,180
,102003,精英猪魔,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B013[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,2,10200301,6009,2,56,102002,300014,10,600,1800,20,7500,3000,2700,,,,,1000006~1000005~5104101~5104102~5104103~5104104~5104010~5104020~5104030~5104050~5104060~5104070~5104080~5104090~1000500~1000504~1000501,50,11050,3,100,12050,3,40,13050,2,5,0~5~10~15~20~25,10200391,10200391,240,0.5,250,0.25,50000,2,180
,102004,精英猪刚鬣,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B014[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,2,10200401,6012,2,60,102003,300015,10,600,1800,20,7900,3160,2844,,,,,1000006~1000005~5125101~5125102~5125103~5125104~5125010~5125020~5125030~5125050~5125060~5125070~5125080~5125090~1000500~1000504~1000501,50,11060,3,100,12060,3,40,13060,2,5,0~5~10~15~20~25,10200491,10200491,240,0.5,250,0.25,50000,3,180
,102005,精英黄风怪,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B015[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,2,10200501,7008,2,63,102004,300016,10,600,1800,20,8200,3280,2952,,,,,1000006~1000005~5125101~5125102~5125103~5125104~5125010~5125020~5125030~5125050~5125060~5125070~5125080~5125090~1000500~1000504~1000501,50,11060,3,100,12060,3,40,13060,2,5,0~5~10~15~20~25,10200591,10200591,240,0.5,250,0.25,100000,3,180
,102006,精英河妖,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B016[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,2,10200601,8005,2,66,102005,300017,10,600,1800,20,8500,3400,3060,,,,,1000006~1000005~5125101~5125102~5125103~5125104~5125010~5125020~5125030~5125050~5125060~5125070~5125080~5125090~1000500~1000504~1000501,50,11060,3,100,12060,3,40,13060,2,5,0~5~10~15~20~25,10200691,10200691,240,0.5,250,0.25,100000,3,180
,102007,精英镇元子,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B017[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,2,10200701,9008,2,70,102006,300018,10,600,1800,20,8900,3560,3204,,,,,1000006~1000005~5145101~5145102~5145103~5145104~5145010~5145020~5145030~5145050~5145060~5145070~5145080~5145090~1000500~1000504~1000501,50,11070,3,100,12070,3,40,13070,2,5,0~5~10~15~20~25,10200791,10200791,240,0.5,250,0.25,100000,3,180
,102008,精英白骨精,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B018[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,2,10200801,10008,2,73,102007,300019,10,600,1800,20,9200,3680,3312,,,,,1000006~1000005~5145101~5145102~5145103~5145104~5145010~5145020~5145030~5145050~5145060~5145070~5145080~5145090~1000500~1000504~1000501,50,11070,3,100,12070,3,40,13070,2,5,0~5~10~15~20~25,10200891,10200891,240,0.5,250,0.25,100000,3,180
,103001,精英黄袍怪,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B019[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,3,10300101,11008,2,76,102008,300020,10,600,1800,20,9500,3800,3420,,,,,1000006~1000005~5145101~5145102~5145103~5145104~5145010~5145020~5145030~5145050~5145060~5145070~5145080~5145090~1000500~1000504~1000501,50,11070,3,100,12070,3,40,13070,2,5,0~5~10~15~20~25,10300191,10300191,240,0.5,250,0.25,100000,3,180
,103002,精英九尾妖狐,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B020[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,3,10300201,12010,2,80,103001,300021,10,600,1800,20,9900,3960,3564,,,,,1000006~1000005~5166101~5166102~5166103~5166104~5166010~5166020~5166030~5166050~5166060~5166070~5166080~5166090~1000500~1000504~1000501,50,11080,3,100,12080,3,40,13080,2,5,0~5~10~15~20~25,10300291,10300291,240,0.5,250,0.25,100000,3,180
,103003,精英银角大王,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B021[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,3,10300301,12014,2,83,103002,300022,10,600,1800,20,10200,4080,3672,,,,,1000006~1000005~5166101~5166102~5166103~5166104~5166010~5166020~5166030~5166050~5166060~5166070~5166080~5166090~1000500~1000504~1000501,50,11080,3,100,12080,3,40,13080,2,5,0~5~10~15~20~25,10300391,10300391,240,0.5,250,0.25,100000,3,180
,103004,精英金角大王,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B022[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,3,10300401,12016,2,86,103003,300023,10,600,1800,20,10500,4200,3780,,,,,1000006~1000005~5166101~5166102~5166103~5166104~5166010~5166020~5166030~5166050~5166060~5166070~5166080~5166090~1000500~1000504~1000501,50,11080,3,100,12080,3,40,13080,2,5,0~5~10~15~20~25,10300491,10300491,240,0.5,250,0.25,100000,3,180
,103005,精英青狮道人,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B023[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,3,10300501,13010,2,90,103004,300024,10,600,1800,20,10900,4360,3924,,,,,1000006~1000005~5186101~5186102~5186103~5186104~5186010~5186020~5186030~5186050~5186060~5186070~5186080~5186090~1000500~1000504~1000501,50,11090,3,100,12090,3,40,13090,2,5,0~5~10~15~20~25,10300591,10300591,240,0.5,250,0.25,200000,3,180
,103006,精英红孩儿,测试用！！！！注意：推荐20级 组队击杀！[BR][C]0x00B024[/C]（每次击杀都可获得极品装备和斗魂碎片）[C/],,3,10300601,14005,2,93,103005,300025,10,600,1800,20,11200,4480,4032,,,,,1000006~1000005~5186101~5186102~5186103~5186104~5186010~5186020~5186030~5186050~5186060~5186070~5186080~5186090~1000500~1000504~1000501,50,11090,3,100,12090,3,40,13090,2,5,0~5~10~15~20~25,10300691,10300691,240,0.5,250,0.25,200000,3,180
,103007,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103008,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103009,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103010,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103011,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103012,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103013,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103014,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103015,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103016,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103017,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103018,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103019,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103020,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103021,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
