技能ID,技能名,文件名,类名,动作名称,动作对应的ID,初始坐标(X~Y~Z）,触发次数,持续时间,X速度,Y速度,Z速度,判定刷新频率,物体类型,目标类型0自己 1敌人 2敌人群体,有无数据文件,层级,文字动画,延迟出现
200028,乾坤圈,A0011_E16_2,cha_FB0027_10,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200029,幌金绳,A0011_E16_2,cha_FB0027_11,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200030,红葫芦,A0011_E16_2,cha_FB0027_12,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200031,紫金铃,A0011_E16_2,cha_FB0027_13,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200032,七星剑,A0011_E16_2,cha_FB0027_14,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200033,定海神针(如意金箍棒),A0011_E16_2,cha_FB0027_15,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200034,玉净瓶,A0011_E16_2,cha_FB0027_16,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200035,芭蕉扇（阳）,A0011_E16_2,cha_FB0027_17,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200036,芭蕉扇（阴）,A0011_E16_2,cha_FB0027_18,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200037,金饶,A0011_E16_2,cha_FB0027_19,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200038,净瓶杨柳,A0011_E16_2,cha_FB0027_20,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200039,阴阳二气瓶,A0011_E16_2,cha_FB0027_21,cha,0,0~0~0,,,,,,,0,0,1,-1,,
200040,金刚琢(金刚套),A0011_E16_2,cha_FB0027_22,cha,0,0~0~0,,,,,,,0,0,1,-1,,
